Stationid,0-19,20-29,30-39,40-49,50-100
"296",0,259,514,508,538
"306",0,453,1204,725,584
"447",0,227,1123,805,725
"270",0,51,484,327,130
"406",0,65,450,327,372
"422",0,159,996,528,517
"291",0,221,442,303,353
"302",0,230,289,258,350
"400",0,108,306,157,93
"244",0,17,404,278,148
"513",0,104,666,421,374
"2022",0,102,616,489,517
"396",0,85,324,105,35
"468",0,167,967,661,558
"339",0,116,176,132,166
"529",0,221,1056,800,871
"356",0,132,396,544,324
"332",0,146,395,363,451
"298",0,15,177,113,90
"327",0,369,2130,1739,1514
"441",0,166,625,288,300
"502",0,160,570,720,706
"363",0,249,1218,873,975
"421",0,44,247,106,24
"258",0,51,407,297,189
"216",0,47,178,139,143
"315",0,196,830,623,623
"411",0,196,538,236,228
"392",0,120,329,176,206
"280",0,349,1139,677,879
"2017",0,103,496,339,278
"2012",0,217,871,493,530
"263",0,420,1009,650,718
"538",0,117,599,635,827
"276",0,228,511,408,559
"364",0,43,281,95,54
"344",0,49,182,148,54
"2009",0,250,510,366,316
"341",0,209,356,365,419
"262",0,44,346,259,102
"427",0,132,557,329,439
"481",0,64,460,232,71
"120",0,38,229,129,90
"322",0,49,292,201,216
"517",0,270,982,790,833
"525",0,183,486,356,366
"2010",0,237,938,510,648
"419",0,27,114,135,16
"522",0,131,605,476,437
"343",0,67,147,102,51
"331",0,247,441,211,267
"501",0,273,873,616,755
"534",0,98,452,290,275
"285",0,827,2711,1615,1550
"530",0,170,1149,795,779
"278",0,70,192,127,52
"365",0,95,309,224,72
"321",0,23,232,177,98
"384",0,53,393,297,193
"2023",0,70,370,300,440
"239",0,49,408,339,166
"377",0,219,833,528,449
"372",0,17,148,31,41
"469",0,146,828,623,527
"82",0,137,388,230,221
"323",0,81,579,236,177
"309",0,151,665,452,356
"351",0,191,672,447,451
"143",0,63,337,257,204
"119",0,35,27,55,19
"313",0,39,337,190,103
"218",0,21,250,137,60
"390",0,43,244,131,197
"354",0,39,214,141,56
"289",0,15,129,62,20
"337",0,167,407,347,288
"386",0,141,596,424,529
"232",0,24,177,93,95
"275",0,22,216,108,97
"303",0,283,1085,604,626
"407",0,18,173,167,118
"359",0,128,694,697,769
"443",0,37,134,36,14
"484",0,130,609,467,503
"245",0,18,142,94,58
"2001",0,12,29,61,15
"477",0,225,1185,1038,932
"2005",0,44,56,13,12
"431",0,38,88,43,18
"442",0,242,1112,682,846
"471",0,53,278,86,45
"282",0,16,94,40,35
