Stationid,0-19,20-29,30-39,40-49,50-100
"358",0,593,3046,2016,1878
"439",0,511,1556,721,563
"463",0,253,1376,902,765
"352",0,196,924,701,632
"293",0,1271,3522,2000,2053
"168",0,466,2138,1454,1523
"498",0,541,1581,840,735
"312",0,612,1750,846,573
"252",0,256,1129,487,654
"325",0,345,1437,682,753
"369",0,238,1049,569,514
"382",0,696,2501,1520,1661
"317",0,559,1351,513,464
"250",0,525,2191,1252,987
"394",0,615,1100,560,609
"528",0,702,2185,972,872
"405",0,290,1582,912,706
"483",0,572,1941,835,599
"223",0,316,1112,726,818
"229",0,408,1800,911,1068
"388",0,242,1048,832,775
"516",0,122,525,407,434
"486",0,280,1321,790,744
"243",0,32,254,206,99
"361",0,493,1316,706,756
"300",0,441,1376,708,623
"398",0,92,407,266,183
"492",0,350,1386,1169,1356
"485",0,208,912,600,596
"164",0,210,688,449,450
"326",0,512,1527,578,587
"505",0,465,1642,878,848
"479",0,373,1533,827,875
"128",0,528,2081,1004,938
"521",0,543,3119,2910,3673
"290",0,254,1098,634,516
"251",0,491,2030,925,594
"249",0,144,516,282,476
"314",0,60,272,219,245
"497",0,832,3325,2142,2362
"380",0,433,2047,1121,1038
"467",0,64,619,332,192
"536",0,248,1188,598,661
"448",0,427,1347,701,435
"383",0,368,1547,727,860
"476",0,557,1675,727,558
"2003",0,470,1239,507,595
"459",0,358,1885,1145,1071
"257",0,248,813,657,662
"432",0,653,1409,699,556
"444",0,505,2288,1556,1668
"461",0,545,1587,704,729
"174",0,355,952,379,501
"146",0,186,706,557,742
"488",0,363,1664,1185,1174
"345",0,541,1981,1360,1675
"433",0,590,1514,601,580
"480",0,197,1119,509,402
"2002",0,145,891,390,182
"466",0,347,1673,1097,1081
"127",0,155,724,425,382
"518",0,619,1554,746,1048
"478",0,313,1287,654,583
"401",0,616,1717,630,341
"308",0,189,641,383,354
"236",0,595,1621,802,630
"412",0,351,729,389,482
"368",0,535,2911,1191,1190
"297",0,438,1477,805,796
"295",0,327,648,389,499
"449",0,163,752,435,334
"284",0,507,2431,1585,1568
"391",0,129,603,441,398
"458",0,274,1345,852,612
"242",0,72,181,145,76
"533",0,208,870,662,593
"465",0,417,1579,1295,1096
"238",0,181,831,548,757
"496",0,353,1582,1232,1047
"489",0,299,1148,738,666
"375",0,503,1705,838,1012
"387",0,339,1174,788,858
"367",0,152,621,431,430
"519",0,720,3092,2881,3534
"281",0,248,1104,909,744
"540",0,487,1802,932,1073
"334",0,248,1427,961,1062
"473",0,224,1116,563,381
"217",0,69,358,248,194
"435",0,511,3047,2039,2186
"389",0,35,468,175,89
"137",0,109,575,435,412
"507",0,640,1592,698,523
"346",0,146,1008,679,820
"462",0,339,2017,1287,1319
"491",0,411,1445,857,896
"301",0,712,1455,661,596
"493",0,170,1007,771,795
"404",0,383,1663,933,814
"399",0,17,205,126,91
"212",0,215,1325,917,851
"436",0,74,281,176,95
"161",0,493,1506,761,769
"504",0,924,2152,878,1006
"509",0,263,1463,1153,1595
"453",0,214,1289,940,1251
"512",0,228,1027,715,687
"456",0,70,394,401,347
"428",0,487,1554,703,654
"366",0,115,639,470,199
"304",0,226,799,617,622
"454",0,174,639,313,345
"116",0,362,1912,1334,1200
"2000",0,99,620,497,309
"482",0,229,1597,971,1055
"266",0,134,358,186,271
"531",0,477,1319,792,657
"261",0,116,463,254,162
"173",0,288,1237,810,823
"350",0,210,566,526,714
"271",0,110,694,583,322
"511",0,511,1159,579,512
"340",0,223,446,332,308
"495",0,221,1061,627,617
"150",0,441,690,352,259
"474",0,213,1050,756,923
"355",0,475,959,502,667
"336",0,475,1442,518,539
"403",0,384,1238,567,585
"445",0,781,1784,726,685
"152",0,105,522,521,459
"195",0,330,1057,684,796
"233",0,95,544,458,419
"430",0,183,816,377,276
"311",0,263,675,529,523
"357",0,194,867,674,663
"440",0,229,863,512,477
"546",0,373,1366,831,754
"379",0,510,1910,1358,1665
"385",0,125,649,325,430
"423",0,128,562,400,337
"426",0,801,2910,1975,1634
"417",0,260,1559,1168,1104
"335",0,427,923,484,588
"307",0,435,1091,890,683
"353",0,54,326,188,106
"499",0,390,2100,1402,1437
"310",0,126,756,478,298
"157",0,62,557,427,240
"294",0,570,1226,654,803
"434",0,277,1165,876,847
"2004",0,170,891,515,456
"167",0,445,1377,913,942
"264",0,280,720,525,434
"402",0,606,2587,1616,1933
"537",0,583,1472,762,785
"268",0,315,1026,707,660
"348",0,327,1512,884,971
"464",0,156,614,491,442
"470",0,217,1216,728,918
"347",0,638,2481,1296,1558
"523",0,343,1664,1570,1323
"460",0,67,478,221,100
"83",0,89,415,289,175
"79",0,171,693,531,686
"151",0,690,2851,1502,1251
"414",0,62,408,263,166
"500",0,148,849,664,607
"410",0,430,1313,816,469
"2006",0,163,860,498,433
"305",0,349,1408,901,902
"373",0,40,285,132,87
"545",0,434,1376,635,901
"72",0,274,1128,725,547
"362",0,232,929,643,563
"446",0,400,1805,1284,1546
"520",0,78,435,361,456
"360",0,175,719,385,375
"514",0,355,1562,1058,847
"455",0,88,542,552,523
"416",0,33,408,353,126
"160",0,251,796,391,456
"328",0,210,899,832,652
"2008",0,256,909,555,683
"147",0,386,1522,1290,1215
"508",0,180,999,660,584
"490",0,466,1966,1751,1808
"532",0,194,954,376,227
"376",0,213,784,619,424
"526",0,289,1256,789,823
"237",0,712,1888,767,756
"475",0,333,1238,788,765
"450",0,263,1459,1003,832
"527",0,539,1605,849,772
"2021",0,188,1097,667,654
"153",0,293,1024,862,967
"395",0,47,519,383,184
"224",0,181,581,389,373
"225",0,218,881,483,479
"324",0,109,487,334,229
"418",0,30,290,148,86
"397",0,23,247,102,95
"144",0,32,125,43,29
"393",0,215,630,273,336
"494",0,378,1627,977,1099
"539",0,201,929,359,176
"265",0,355,1181,630,672
"228",0,203,713,563,540
"279",0,85,136,71,121
"319",0,110,653,554,438
"408",0,199,414,235,206
"330",0,121,617,451,600
"260",0,138,341,299,189
"503",0,56,223,137,142
"420",0,18,319,171,121
"457",0,281,1478,1092,1080
"267",0,275,1160,616,584
"248",0,62,210,247,240
"320",0,85,641,406,446
"342",0,146,348,339,449
"274",0,40,350,262,191
"510",0,138,778,637,612
"241",0,56,411,252,97
"259",0,142,673,459,602
"3002",0,530,1845,1216,1456
"329",0,338,1138,980,865
"487",0,495,886,338,540
"415",0,208,778,521,393
"349",0,305,794,341,186
"409",0,42,218,86,17
"472",0,503,1527,1041,1023
"247",0,174,1002,629,564
"438",0,434,1360,647,483
"515",0,345,1344,830,1046
"318",0,230,1273,1638,1882
"316",0,249,708,461,440
