Stationid,0-19,20-29,30-39,40-49,50-100
"380",7,790,1752,1074,1195
"3092",2,325,976,340,162
"449",2,537,966,558,476
"522",0,435,838,640,596
"335",6,778,1090,624,786
"503",8,435,651,451,507
"533",3,541,1295,955,833
"492",3,1015,1957,1426,1356
"525",1,433,893,616,580
"2002",1,482,1340,683,186
"447",2,563,1454,933,872
"350",3,304,688,699,744
"434",13,876,1967,1643,1394
"355",19,708,1039,591,700
"456",0,233,689,666,677
"450",0,831,2048,1046,966
"2021",2,491,1233,815,958
"537",9,1455,2002,946,1059
"377",4,588,1147,693,558
"415",0,428,732,518,496
"439",0,1440,1772,897,892
"461",4,1292,1752,853,880
"238",8,462,925,765,844
"345",5,767,1478,945,1197
"3171",3,269,863,484,651
"462",25,764,2061,1585,1714
"3125",0,144,458,206,68
"473",14,586,1229,492,380
"328",9,553,1264,824,893
"127",2,979,2499,1509,1514
"504",30,1744,2187,1018,1229
"152",21,405,804,558,508
"412",6,557,952,453,677
"3120",0,25,189,124,68
"482",3,835,1913,1030,1247
"530",1,329,1584,843,819
"334",5,806,1780,1280,1355
"368",25,1586,3083,1484,1593
"3224",3,1123,2155,1077,1018
"3157",2,171,357,190,407
"296",9,438,724,513,591
"479",10,804,1874,1034,1110
"519",5,2063,4467,3626,4704
"3065",0,95,118,18,25
"2009",0,413,533,418,407
"157",0,116,594,321,329
"223",9,622,1489,740,1209
"242",1,144,313,170,99
"3141",4,1045,2362,1388,1202
"293",11,2117,3678,1754,1914
"326",15,1087,1674,640,752
"3255",0,775,2171,1624,1788
"346",19,587,1481,869,1005
"161",11,1208,1927,1009,1239
"471",2,334,922,224,97
"3147",9,803,1683,746,748
"253",3,540,1151,709,886
"247",6,414,1002,559,660
"151",6,1559,3235,1495,1233
"116",12,995,2539,1487,1338
"284",13,1407,3158,1772,2019
"224",1,324,694,448,372
"331",2,316,507,222,248
"459",6,1330,3042,1842,1662
"405",3,537,1378,747,700
"388",22,1000,2354,1633,1653
"241",0,125,407,271,154
"336",19,825,1423,727,585
"487",3,1526,1536,692,1176
"513",0,357,1204,677,569
"325",5,680,1390,762,770
"164",2,703,1169,607,665
"285",11,1677,2602,1373,1616
"480",0,516,1433,773,542
"308",14,287,634,356,394
"3135",0,484,878,442,390
"3071",12,82,133,30,16
"3156",2,441,1520,887,844
"428",3,1034,1682,809,940
"3161",5,224,730,437,598
"312",8,1046,1579,682,641
"532",6,652,1173,312,230
"528",7,914,1286,688,752
"302",5,431,335,348,435
"366",0,189,819,543,200
"477",5,974,2453,1725,1665
"173",4,718,1610,1117,1057
"301",2,1234,1721,624,514
"3160",3,197,584,342,533
"280",1,507,888,602,880
"354",0,123,288,205,94
"128",26,1148,2523,1184,1147
"493",3,340,877,875,954
"438",3,814,1499,660,539
"398",1,151,465,246,212
"263",2,776,1160,769,1002
"483",1,1465,2051,898,819
"265",18,822,1479,856,824
"251",4,1146,2218,937,698
"466",4,1070,2222,1227,1348
"3140",15,694,1460,847,738
"401",45,1132,1587,725,492
"3172",2,159,627,289,337
"367",0,504,1330,844,854
"490",1,1234,3041,1942,1987
"531",10,996,1610,774,823
"311",7,504,851,675,620
"3151",0,326,714,391,349
"2008",23,652,1477,969,1128
"457",2,620,1716,1177,1252
"3145",6,514,1062,775,1071
"327",46,786,2390,2074,1524
"228",2,466,989,628,800
"3062",0,115,159,50,23
"3099",0,20,184,72,31
"3115",0,135,697,219,83
"254",4,447,976,556,655
"3168",3,457,1238,821,962
"402",2,1998,3752,2420,2655
"3085",0,22,50,27,12
"306",18,702,858,471,450
"3080",0,142,367,114,26
"3086",0,240,806,263,47
"445",5,1659,1773,818,957
"516",0,182,547,456,440
"3112",1,237,1215,392,94
"475",1,805,1481,815,934
