Stationid,0-19,20-29,30-39,40-49,50-100
"391",2,147,660,338,455
"539",2,447,1151,352,192
"360",3,372,828,493,473
"430",1,402,1154,516,359
"385",2,494,1026,621,661
"523",1,1058,2324,1576,1709
"300",3,1039,1334,585,632
"465",5,475,1440,1088,1001
"153",1,616,1503,1210,1300
"237",8,1292,1868,710,888
"2010",4,520,1080,582,629
"472",1,1253,2100,1499,1502
"249",0,338,535,494,570
"3231",0,182,495,340,391
"478",6,554,1737,996,747
"264",44,579,822,410,398
"515",3,540,1509,914,1160
"324",3,287,564,375,223
"453",9,700,1772,1220,1618
"509",9,622,1717,1259,1766
"382",9,1276,2459,1326,1695
"3088",0,138,353,92,30
"316",2,433,763,501,569
"527",1,1464,2163,1172,1007
"469",4,433,1187,777,733
"496",10,891,2165,1117,1368
"3222",2,247,883,719,422
"470",5,610,1496,1062,1010
"379",3,1167,2376,1861,1830
"393",0,664,838,335,328
"147",37,703,1550,1380,1436
"72",2,495,1267,743,669
"329",2,837,1291,1162,1046
"3139",6,250,613,335,596
"511",2,1967,1801,673,1088
"435",3,1407,3443,2399,2819
"536",0,1056,1763,946,993
"342",7,282,323,442,696
"3118",0,132,543,158,86
"236",1,1294,1880,785,789
"167",4,1058,1853,1124,1238
"3249",1,55,93,72,13
"369",10,537,1052,520,574
"3177",8,520,1002,873,1149
"387",22,679,1298,928,953
"3093",0,582,1491,648,250
"229",6,1351,2301,1313,1544
"460",0,367,1049,406,125
"3100",0,152,595,146,54
"458",0,945,2571,1347,1057
"409",0,183,226,158,38
"467",2,212,780,294,227
"383",2,804,1847,1021,913
"225",4,708,1427,859,683
"3162",1,159,589,514,664
"120",0,166,367,128,91
"3126",0,114,454,221,162
"3087",0,280,714,182,72
"3095",0,103,314,153,26
"474",1,767,1603,962,1287
"546",2,871,1423,948,859
"361",11,919,1458,709,613
"432",2,1740,2248,782,843
"352",1,529,1281,936,1030
"423",2,436,981,651,471
"3061",0,47,100,15,3
"248",2,162,360,317,335
"258",4,125,528,338,172
"291",1,70,180,122,94
"3082",0,272,599,165,43
"3079",1,160,418,141,18
"410",5,1230,1801,889,674
"3154",5,352,663,362,462
"3016",1,429,1514,650,265
"3074",0,288,550,133,100
"3167",4,366,1397,762,1078
"427",0,227,513,390,590
"3089",0,38,170,38,29
"281",1,454,1163,740,853
"481",1,374,872,262,60
"495",1,552,1458,832,801
"320",4,430,1008,581,610
"252",3,640,1228,633,915
"282",1,170,560,294,167
"307",19,589,1379,982,952
"3129",0,335,832,360,274
"317",0,851,1313,476,575
"268",11,606,1298,867,579
"514",20,791,2464,1840,1694
"310",6,196,931,529,302
"83",1,248,480,235,183
"212",0,678,1767,1115,973
"545",15,1040,1794,931,1495
"250",10,1396,2899,1690,1272
"257",2,531,1111,701,625
"486",1,872,1929,1212,923
"3175",9,293,870,667,829
"529",3,751,1357,1060,1091
"3164",8,377,1270,951,992
"494",7,976,2584,1546,1967
"468",0,437,1596,1014,1016
"3068",0,181,180,88,22
"3064",0,285,447,59,35
"441",2,576,1051,442,458
"407",0,56,180,230,123
"507",8,1559,1706,750,800
"518",5,1037,2092,1298,1181
"411",4,378,601,361,324
"3170",5,219,769,568,662
"319",12,392,690,480,393
"341",22,285,389,338,412
"150",4,709,1051,482,333
"295",2,453,972,484,461
"3166",3,266,664,486,700
"3002",27,1230,2262,1649,1942
"349",17,680,771,328,209
"3043",0,39,95,48,10
"3150",0,412,685,417,526
"3122",0,114,245,149,69
"289",0,57,213,117,70
"2003",6,1360,1450,610,865
"174",31,898,977,488,576
"417",6,600,1952,1291,1085
"3142",7,579,1291,580,673
"3223",1,345,797,770,755
"426",86,1497,3306,2367,2039
"437",0,175,486,310,108
"502",37,221,670,853,804
"2022",0,127,295,243,198
"3047",0,140,211,48,19
"79",8,380,871,677,843
"395",4,120,489,312,193
"3226",3,155,585,409,510
"3076",0,138,415,68,4
"315",5,366,943,815,721
"340",1,442,670,409,444
"3124",0,121,707,310,134
"476",2,1162,1324,708,704
"526",4,672,1463,860,940
"3236",2,375,1282,1068,1552
"3144",0,78,169,210,214
"389",2,235,786,270,97
"488",1,652,1728,1031,1292
"363",29,571,1373,1097,973
"517",1,474,1083,1064,1365
"3131",0,159,339,224,232
"448",4,818,1632,640,626
"454",1,453,838,356,463
"394",0,946,1281,560,645
"3153",3,207,605,259,319
"275",1,73,332,204,86
"420",1,89,364,215,59
"2017",6,224,707,439,384
"357",3,470,840,584,715
"3146",0,394,518,342,332
"2012",3,899,1398,621,692
"267",3,334,767,497,621
"499",4,578,1780,1312,1415
"399",0,89,392,177,130
"3077",0,169,641,124,73
"3052",0,52,374,157,19
"261",0,171,561,300,97
"3148",2,325,756,463,621
"358",14,1111,2578,1577,1568
"3111",0,121,431,163,59
"498",1,1117,1976,1073,877
"304",17,828,1700,1127,1244
"540",4,1119,1798,831,878
"3054",0,77,133,66,16
"376",6,522,687,562,372
"3173",5,249,1079,753,684
"359",0,817,2665,2265,2389
"497",17,1705,3624,2222,2715
"433",4,1269,1401,671,684
"505",4,1134,2230,1122,1065
"348",13,955,1810,888,1062
"297",9,1196,1747,922,981
"332",24,174,393,366,509
"305",2,531,1674,918,1052
"485",1,463,1154,821,720
"2000",0,173,730,360,341
"422",0,282,753,413,422
"3233",3,405,1121,910,1018
"3091",0,99,347,42,24
"510",8,364,1028,1053,973
"524",2,482,1173,927,855
"3244",4,687,994,497,924
"3041",0,90,115,35,28
"414",0,153,490,326,183
"239",0,142,526,456,148
"3230",0,347,1353,2384,2490
"279",7,621,1056,709,677
"3176",0,234,858,466,422
"82",0,190,262,346,275
"3169",3,148,468,373,589
"3165",13,324,1102,652,857
"3155",0,325,844,577,520
"455",10,270,811,776,826
"351",1,440,763,450,576
"262",2,69,407,228,145
"195",17,633,1263,737,842
"3163",5,361,1112,620,789
"444",0,1218,2422,1587,1688
"168",4,1092,2628,1623,1826
"270",0,127,671,368,181
"3108",0,271,739,284,181
"3159",3,333,1020,628,851
"384",4,221,782,335,208
"330",2,327,718,463,723
"3109",0,360,634,131,60
"3178",3,214,682,369,713
"484",2,472,1379,1281,1428
"416",0,143,425,337,148
"3243",3,254,504,281,329
"347",10,898,2009,1213,1371
"362",0,367,827,557,589
"274",1,80,516,255,193
"3107",0,322,1254,326,140
"501",3,599,1159,814,803
"436",0,67,285,84,34
"276",5,490,758,398,648
"344",0,89,293,161,88
"143",5,95,420,367,238
"396",0,128,482,142,66
"119",0,29,44,126,43
"3101",1,170,615,247,76
"491",1,854,1647,989,1073
"508",1,651,1409,876,789
"3050",0,30,231,72,45
"534",2,209,515,381,334
"3238",1,251,641,331,229
"3070",18,120,161,60,21
"243",0,60,374,236,98
"337",1,252,641,469,438
"3117",0,79,417,135,87
"397",0,111,457,170,97
"2006",5,497,1174,651,762
"3235",1,303,638,589,646
"2023",0,231,596,456,510
"232",2,70,240,129,130
"3072",34,93,169,90,34
"365",4,127,354,199,97
"3049",0,54,187,107,83
"406",0,122,451,385,331
"3090",4,502,1494,556,228
"440",0,510,894,701,767
"217",1,144,452,257,259
"418",0,90,382,155,86
"2004",1,528,1024,668,598
"3119",0,324,1157,574,248
"364",1,205,410,228,80
"373",0,108,197,95,116
"3060",0,87,167,41,22
"303",4,615,1084,674,669
"146",3,389,869,645,846
"3246",4,156,405,300,340
"3241",0,86,230,52,8
"356",8,230,577,744,754
"244",12,87,535,341,119
"3106",0,165,615,222,108
"3134",2,276,746,425,370
"3096",2,199,696,304,65
"421",0,103,254,122,44
"520",10,792,2203,1652,1408
"500",1,321,895,771,726
"3132",0,259,660,502,718
"419",0,214,262,125,79
"245",0,66,237,145,53
"3102",0,156,531,157,65
"3114",0,30,194,79,31
"3073",0,129,237,54,33
"278",1,169,385,112,56
"443",0,63,167,32,25
"3123",0,30,63,51,52
"3180",1,68,178,99,90
"3113",0,237,647,318,107
"3063",0,87,95,43,22
"313",0,137,544,283,117
"233",2,53,184,127,103
"3067",3,131,172,60,16
"3137",4,284,794,503,592
"3046",0,83,126,97,38
"390",0,146,420,305,289
"400",2,174,274,141,108
"3158",9,358,858,699,1037
"3057",0,84,278,26,15
"3066",1,118,154,21,36
"137",1,206,667,575,527
"339",27,228,229,173,217
"3110",0,232,628,292,134
"266",6,229,505,173,250
"298",0,49,199,134,138
"343",0,69,300,134,144
"3058",0,132,193,29,6
"322",1,133,329,221,315
"408",2,258,507,323,422
"3116",0,218,739,183,78
"3136",2,59,118,96,133
"353",3,68,360,194,89
"372",0,84,163,72,22
"3053",0,78,103,30,18
"323",2,293,938,458,291
"259",2,307,601,509,621
"3179",0,71,87,16,6
"321",2,125,284,191,194
"3103",0,153,468,167,104
"144",0,69,242,114,57
"3143",12,314,749,429,577
"3078",0,228,430,205,69
"386",3,324,641,540,624
"3083",1,110,364,87,90
"3232",0,52,244,154,100
"309",3,373,693,542,560
"3138",1,121,293,195,295
"3081",1,190,284,102,26
"216",0,54,154,100,163
"3098",0,61,360,161,53
"3242",1,241,451,307,446
"392",1,185,513,219,221
"3056",0,41,164,84,14
"3069",5,55,169,52,16
"3094",0,117,391,129,18
"3084",1,123,433,154,47
"2001",0,57,162,84,66
"3075",1,55,67,33,31
"3121",0,71,153,91,51
"3237",0,53,165,38,45
"3055",0,72,221,94,23
"3059",0,59,105,6,2
"3048",0,75,127,53,20
"3128",0,28,74,39,35
"3221",0,44,129,118,37
"3044",0,20,33,46,12
"3127",0,45,54,77,38
"3105",0,114,209,101,39
"3182",3,78,151,99,110
"3254",2,73,159,106,141
"3042",0,60,178,124,40
"260",13,190,427,361,245
"2005",0,0,23,20,5
"3152",4,94,229,111,149
"442",0,453,1035,722,997
"446",0,638,1433,908,972
"3256",7,328,423,260,318
"3257",0,11,12,4,5
"375",0,11,36,15,10
"3260",2,161,252,144,169
"3259",1,75,189,115,110
