Stationid,0-19,20-29,30-39,40-49,50-100
"444",0,100,983,806,777
"475",0,28,547,363,431
"2008",0,17,251,171,139
"285",0,168,1355,849,841
"509",0,82,668,607,782
"265",0,47,405,295,221
"404",0,126,824,690,548
"423",0,49,436,242,245
"241",0,7,192,164,77
"527",0,60,410,238,220
"309",0,45,455,340,178
"494",0,55,367,297,359
"380",0,66,867,606,575
"305",0,72,615,476,433
"480",0,62,364,201,179
"453",0,42,515,457,518
"223",0,35,418,352,404
"476",0,109,780,396,380
"312",0,81,527,330,221
"482",0,53,714,474,574
"439",0,107,869,460,383
"531",0,73,429,266,219
"358",0,66,880,676,643
"83",0,31,255,160,152
"271",0,19,334,296,145
"445",0,106,727,349,267
"477",0,79,774,695,658
"293",0,191,1179,755,717
"493",0,47,341,317,388
"473",0,70,436,302,221
"489",0,42,575,308,366
"517",0,76,655,599,793
"2004",0,32,344,302,329
"249",0,53,187,216,201
"432",0,122,740,379,304
"79",0,89,735,504,469
"465",0,48,545,560,413
"247",0,30,320,284,232
"412",0,65,371,220,176
"521",0,92,908,801,954
"490",0,64,649,601,606
"369",0,60,512,296,286
"510",0,38,420,381,316
"389",0,7,161,95,70
"492",0,65,642,567,616
"3019",0,7,62,34,43
"236",0,96,852,451,308
"357",0,22,431,394,334
"303",0,88,522,344,388
"470",0,45,512,405,495
"354",0,10,134,77,20
"300",0,9,143,134,58
"233",0,27,248,211,213
"504",0,139,745,443,375
"143",0,8,127,226,164
"441",0,23,214,126,134
"244",0,19,166,159,100
"2022",0,28,208,129,124
"281",0,44,260,173,147
"508",0,36,325,233,206
"355",0,62,418,273,264
"420",0,19,159,135,52
"481",0,8,168,88,52
"528",0,117,841,489,453
"311",0,44,281,261,196
"328",0,40,459,332,311
"270",0,34,224,224,85
"146",0,36,306,300,394
"466",0,59,628,556,422
"488",0,64,667,532,498
"447",0,65,577,382,345
"362",0,38,324,306,257
"514",0,66,434,350,276
"259",0,24,274,216,238
"294",0,115,481,295,415
"251",0,79,704,393,309
"238",0,38,446,407,493
"376",0,62,323,307,239
"461",0,74,636,295,379
"405",0,32,527,391,235
"459",0,134,1320,890,800
"428",0,79,509,337,287
"252",0,65,384,233,312
"384",0,18,260,192,63
"2009",0,8,72,57,72
"239",0,7,129,95,84
"278",0,2,86,88,31
"479",0,66,631,368,425
"168",0,48,511,474,469
"151",0,119,970,606,469
"393",0,127,332,148,165
"518",0,108,708,572,515
"324",0,47,526,442,356
"516",0,32,277,189,183
"442",0,105,648,463,552
"478",0,29,382,225,221
"326",0,83,639,323,366
"82",0,54,126,82,81
"348",0,86,577,411,386
"460",0,14,159,75,21
"350",0,62,360,389,294
"150",0,160,710,465,373
"308",0,26,220,159,165
"323",0,82,864,529,426
"336",0,106,529,272,219
"469",0,83,466,425,385
"523",0,64,607,461,481
"284",0,28,407,273,233
"349",0,70,295,179,58
"539",0,15,319,198,99
"398",0,10,251,189,159
"382",0,82,682,470,587
"167",0,48,410,395,319
"410",0,58,577,456,163
"402",0,115,1064,739,785
"406",0,62,419,270,272
"386",0,29,379,223,283
"298",0,10,116,62,35
"462",0,52,457,404,500
"401",0,134,722,375,248
"416",0,33,477,333,161
"485",0,56,501,451,419
"377",0,38,396,357,297
"397",0,13,115,78,36
"495",0,63,528,351,344
"334",0,48,593,497,520
"486",0,72,501,395,327
"347",0,71,696,569,508
"498",0,59,574,385,327
"280",0,67,331,248,389
"396",0,16,135,47,67
"295",0,58,207,150,137
"290",0,109,780,498,441
"438",0,86,616,363,226
"446",0,60,541,459,547
"116",0,51,702,527,396
"458",0,33,283,228,218
"212",0,30,440,378,396
"2012",0,35,300,217,228
"515",0,73,591,389,465
"540",0,55,573,333,395
"512",0,30,319,208,226
"275",0,6,105,101,37
"229",0,59,569,325,445
"375",0,113,583,450,479
"282",0,16,67,69,52
"503",0,17,297,218,161
"435",0,83,679,547,543
"403",0,58,428,312,278
"463",0,41,545,488,410
"268",0,76,591,380,307
"128",0,32,668,463,384
"313",0,14,143,119,53
"511",0,76,351,227,272
"391",0,36,163,201,190
"173",0,45,522,336,304
"366",0,28,260,278,113
"368",0,115,997,571,521
"414",0,37,246,202,137
"507",0,105,568,243,287
"497",0,136,1331,925,1094
"353",0,14,125,102,64
"388",0,24,244,151,157
"522",0,68,404,324,314
"296",0,51,176,171,139
"426",0,85,756,636,505
"127",0,60,528,558,498
"321",0,17,185,155,141
"152",0,33,317,320,277
"525",0,40,156,101,101
"3020",0,3,48,38,23
"363",0,68,837,764,694
"361",0,50,308,257,146
"258",0,8,31,42,8
"306",0,76,434,252,203
"72",0,75,431,361,285
"157",0,3,301,273,216
"253",0,16,206,167,171
"356",0,37,239,298,272
"365",0,15,182,172,64
"456",0,44,368,343,307
"314",0,42,531,450,419
"457",0,110,989,750,897
"164",0,116,362,330,325
"161",0,78,469,325,302
"345",0,63,577,447,518
"437",0,13,207,106,65
"448",0,92,512,337,172
"502",0,29,69,188,192
"262",0,27,194,147,74
"325",0,68,576,393,397
"264",0,43,372,251,248
"455",0,34,304,404,317
"530",0,28,390,387,422
"216",0,6,106,112,159
"3002",0,18,164,100,113
"468",0,56,639,503,510
"472",0,105,516,421,419
"346",0,45,458,395,476
"2006",0,80,665,431,451
"367",0,27,431,402,269
"344",0,15,72,74,36
"519",0,103,833,757,832
"395",0,11,233,243,128
"536",0,63,383,307,304
"307",0,69,446,355,275
"225",0,57,437,313,263
"330",0,23,281,231,262
"147",0,54,540,461,424
"487",0,76,409,308,389
"433",0,66,619,308,273
"537",0,103,578,354,334
"301",0,41,483,323,349
"364",0,29,172,51,33
"254",0,41,464,289,402
"399",0,18,110,104,52
"392",0,30,284,177,179
"417",0,43,512,530,444
"449",0,56,530,290,237
"394",0,163,615,362,303
"534",0,32,267,258,172
"337",0,79,381,274,203
"261",0,57,301,112,57
"430",0,49,398,319,168
"2003",0,84,427,226,279
"483",0,82,894,438,324
"260",0,20,244,180,105
"316",0,64,297,223,277
"427",0,73,441,329,290
"329",0,98,587,456,374
"317",0,47,348,224,215
"297",0,8,77,52,67
"276",0,31,271,265,326
"454",0,53,299,225,287
"418",0,2,152,127,47
"291",0,36,79,100,128
"332",0,25,209,224,218
"237",0,102,878,483,425
"342",0,38,137,142,231
"529",0,35,336,303,294
"474",0,67,446,381,373
"224",0,43,259,239,223
"491",0,135,1019,618,621
"174",0,39,234,154,207
"250",0,61,437,314,278
"266",0,35,122,111,147
"383",0,44,394,312,300
"2000",0,32,321,241,192
"319",0,26,392,337,275
"3017",0,12,143,105,113
"243",0,26,224,210,162
"217",0,22,180,134,164
"359",0,59,325,421,281
"242",0,23,133,83,64
"500",0,81,454,376,326
"274",0,23,231,176,99
"471",0,17,181,125,52
"335",0,98,447,295,361
