Stationid,0-19,20-29,30-39,40-49,50-100
"501",0,52,382,312,268
"310",0,32,422,273,204
"545",0,54,504,318,400
"464",0,44,387,308,280
"499",0,32,376,292,235
"2023",0,13,92,58,66
"513",0,38,421,259,241
"379",0,42,313,208,222
"327",0,100,759,630,508
"119",0,3,21,26,8
"385",0,16,104,45,66
"505",0,52,461,330,225
"120",0,17,101,168,39
"195",0,45,439,381,359
"520",0,45,443,334,336
"546",0,44,396,296,252
"422",0,38,543,442,382
"153",0,18,121,111,86
"407",0,9,90,51,75
"331",0,76,97,84,78
"320",0,28,337,251,186
"2010",0,10,67,52,63
"255",0,11,106,73,60
"538",0,50,336,261,271
"532",0,63,431,157,105
"496",0,27,519,342,416
"526",0,41,333,247,255
"352",0,51,600,467,423
"411",0,27,132,120,83
"232",0,16,66,54,87
"257",0,21,317,332,273
"421",0,6,93,33,4
"315",0,62,338,247,271
"351",0,35,310,205,157
"373",0,25,126,94,18
"340",0,61,83,86,93
"267",0,33,261,206,179
"415",0,67,498,301,290
"533",0,42,352,302,275
"360",0,52,386,211,237
"304",0,94,413,332,382
"302",0,26,93,61,84
"450",0,87,815,545,497
"2002",0,26,297,170,92
"434",0,29,333,300,276
"322",0,18,135,122,145
"2021",0,12,118,82,90
"436",0,5,74,40,10
"390",0,14,80,111,78
"419",0,23,197,123,134
"279",0,18,67,44,35
"289",0,5,64,57,11
"144",0,6,40,45,12
"341",0,22,128,113,80
"245",0,7,71,29,19
"343",0,11,74,52,28
"408",0,38,173,190,81
"440",0,23,356,276,217
"524",0,18,155,132,121
"339",0,11,76,19,36
"484",0,28,298,258,263
"3014",0,23,67,38,13
"467",0,37,465,218,179
"443",0,2,31,22,12
"2001",0,12,50,9,16
"137",0,8,65,64,46
"372",0,5,61,22,11
"228",0,24,124,80,64
"431",0,3,27,36,13
"2005",0,23,81,44,45
"318",0,43,514,599,723
"218",0,27,66,40,29
"400",0,27,132,74,38
"248",0,20,112,130,127
"387",0,50,539,448,342
"263",0,36,261,169,138
"3000",0,0,2,0,0
"160",0,8,79,40,64
"409",0,3,37,13,4
