Stationid,0-19,20-29,30-39,40-49,50-100
"72",41,1023,1460,1249,786
"79",25,626,908,868,762
"82",27,215,305,299,300
"83",28,368,574,586,267
"119",3,53,109,84,56
"120",10,400,443,256,149
"127",62,1719,2169,1708,1275
"128",56,2181,1993,1570,952
"143",23,342,884,712,487
"144",5,197,256,360,77
"146",56,674,997,876,815
"150",27,1231,898,559,360
"151",55,2418,2567,1900,1066
"157",15,455,862,602,304
"161",52,1793,1636,1300,918
"164",9,808,925,731,593
"167",16,1305,1411,1031,858
"168",39,1839,2418,1871,1534
"173",45,1426,2148,2205,1186
"174",39,1334,1056,604,540
"195",42,951,1185,1253,781
"212",19,1177,1533,1472,884
"216",3,167,233,388,209
"217",44,572,989,2128,418
"223",31,1114,1424,967,947
"228",25,599,791,748,531
"229",35,2351,2621,1765,1323
"232",14,230,362,877,257
"236",28,2094,1613,1175,791
"237",28,2221,1709,995,948
"238",48,649,909,887,719
"239",12,694,1191,791,269
"241",7,421,594,410,231
"242",2,355,399,409,141
"243",6,206,537,231,178
"244",6,375,680,464,237
"245",3,211,322,204,84
"247",28,712,940,869,513
"248",13,352,325,398,303
"249",11,439,451,497,464
"251",32,2075,2050,1373,734
"252",41,1025,1022,955,749
"253",30,848,1021,887,849
"254",12,842,829,879,663
"257",31,939,1207,1079,659
"258",37,526,881,627,243
"259",48,676,844,1555,715
"260",5,28,32,43,17
"261",9,334,712,434,208
"262",3,302,658,420,163
"264",15,903,820,513,351
"265",79,1479,1691,1257,864
"266",21,542,598,406,429
"267",29,1057,1486,1282,794
"268",35,1103,1358,1189,739
"270",31,414,829,415,241
"274",14,458,869,493,294
"275",2,256,479,306,197
"276",33,718,637,610,563
"278",5,261,326,275,83
"279",24,1131,981,1493,636
"280",20,605,877,782,624
"281",82,1357,1772,4902,1232
"282",7,405,650,737,235
"285",99,3035,3017,2324,1855
"289",12,312,385,219,55
"291",61,457,467,487,279
"293",81,2701,2673,1897,1458
"295",49,662,739,577,606
"296",73,913,850,871,740
"297",30,1858,1686,1098,1053
"298",6,250,511,337,149
"301",14,1596,1403,706,448
"302",17,696,472,443,524
"303",44,1060,1250,1112,619
"304",41,1271,1692,1956,1093
"305",56,992,1439,1241,902
"306",22,1006,862,745,401
"307",165,1454,1596,1573,1256
"308",57,538,673,778,433
"309",24,833,918,1289,677
"310",21,358,671,530,368
"311",83,993,949,846,597
"312",55,1978,1671,1253,661
"313",25,314,613,370,147
"314",14,374,718,667,550
"315",21,1195,1666,2243,997
"316",31,683,750,740,433
"317",25,1543,1143,769,568
"319",64,1202,1449,1395,775
"320",15,607,917,711,487
"321",30,411,844,1212,232
"322",18,212,447,679,361
"323",18,537,1061,702,312
"324",18,491,879,502,406
"325",25,1062,1260,659,691
"326",28,1765,1485,954,768
"327",43,1390,2308,2918,1458
"328",26,1154,1327,1084,864
"330",40,588,689,787,694
"331",85,557,609,402,369
"332",31,348,461,734,584
"334",25,1273,1770,1421,1231
"335",30,1219,967,837,640
"336",57,1681,1426,1030,716
"337",10,398,674,653,410
"339",32,518,361,383,411
"340",109,555,488,503,427
"341",72,491,301,503,407
"342",66,322,316,675,555
