Stationid,0-19,20-29,30-39,40-49,50-100
"343",4,277,222,336,106
"344",10,324,496,249,146
"345",19,1195,1368,1231,1065
"346",17,799,1152,1060,834
"347",50,1373,1868,1644,1106
"349",56,867,501,445,282
"350",65,635,701,1006,877
"351",21,676,840,887,676
"353",12,222,556,398,113
"354",0,481,496,326,104
"355",68,840,1015,956,731
"356",33,277,518,634,525
"357",15,701,761,669,556
"358",67,2318,3064,2115,1782
"359",9,1484,2416,2215,1972
"360",18,636,814,521,374
"361",134,1609,1411,1038,645
"362",18,771,899,794,515
"363",74,775,1204,1595,1015
"364",0,581,624,342,166
"365",7,353,479,289,99
"366",21,558,1000,698,263
"368",51,2960,2765,2187,1471
"369",42,990,1138,797,594
"372",3,199,281,140,60
"373",0,165,228,110,37
"376",14,678,753,676,400
"377",31,1388,1657,1393,661
"379",16,1797,2409,2077,1952
"380",38,1366,1558,1366,842
"382",57,1984,2401,1632,1485
"383",11,1313,1656,1061,840
"386",23,527,735,1089,589
"387",107,1508,1674,3868,1093
"388",36,914,1212,1360,987
"389",2,742,1042,646,179
"390",9,247,401,304,118
"391",25,469,1016,966,716
"392",30,481,839,682,352
"393",18,859,601,431,358
"394",54,1467,1389,739,716
"396",19,237,338,244,31
"397",3,290,338,225,63
"398",35,562,961,1296,321
"399",8,292,635,434,237
"400",59,394,208,238,131
"401",87,1986,1520,1257,532
"402",37,2871,3691,2948,2057
"403",39,1956,1911,1244,981
"405",47,1815,2254,2493,1067
"406",16,298,812,614,772
"407",18,171,387,575,281
"408",77,603,502,535,300
"409",3,394,396,273,61
"410",54,2029,1431,1042,598
"411",42,621,539,533,428
"412",199,1239,1221,1339,864
"414",13,523,828,720,280
"415",22,643,944,881,440
"416",25,472,618,468,173
"417",33,1157,1759,1740,985
"418",11,282,521,385,185
"419",5,170,254,213,134
"420",14,134,583,345,129
"421",2,207,398,199,102
"422",42,766,1099,734,660
"423",22,1036,1244,1026,652
"426",192,3309,3568,4360,2110
"427",35,575,821,1347,501
"432",38,2668,1698,947,883
"433",49,2154,1479,830,758
"435",54,2567,3497,2797,2470
"436",17,224,293,147,41
"437",16,414,646,324,135
"438",26,2190,1579,1029,724
"439",12,906,788,486,445
"440",23,806,907,830,721
"441",49,1263,1257,939,576
"442",22,1338,1915,1649,1681
"443",1,188,284,189,38
"445",57,2663,1573,1120,970
"446",23,1515,1971,1698,1536
"447",26,1210,1525,1384,1041
"448",27,1446,1675,865,691
"450",22,1569,2241,1432,1107
"453",90,1868,2609,2148,1990
"454",31,826,696,611,514
"455",43,526,911,1229,725
"456",70,1330,2139,1987,1400
"457",41,1430,2377,2490,1433
"458",34,1684,2224,1961,1047
"459",36,2054,2532,2780,1461
"460",6,1348,2160,1133,190
"461",22,1828,1680,1033,813
"462",45,1487,2082,2033,1431
"465",19,1726,2480,2273,1286
"466",21,1616,1970,1359,947
"467",9,623,1147,712,369
"468",31,1072,1845,1466,1095
"469",29,1249,1855,1910,1354
"471",4,605,903,478,56
"472",29,2068,2266,1882,1461
"473",21,1023,1073,705,394
"474",17,1411,1885,1490,1211
"476",27,1759,1293,967,702
"477",34,2052,3443,2597,1982
"478",29,1213,1675,1297,1016
"479",38,1687,2119,1617,1187
"480",7,1088,1419,938,670
"481",2,947,977,637,118
"482",56,1744,2387,1771,1458
"483",24,2087,1680,1136,806
"484",2,129,250,232,199
"485",2,268,353,370,249
"486",14,1299,1884,1682,1073
"487",39,1905,1278,1070,1049
"490",55,2283,3031,2771,2162
"491",28,1822,1854,1501,991
"492",25,1894,2491,2716,2223
"494",64,1496,2031,1711,1742
"495",44,1123,1533,1070,799
"496",18,1690,2005,1308,1083
"497",118,2731,3568,2885,2558
"498",41,1824,2412,1609,1100
"499",70,1578,2613,2868,2022
"500",13,690,1205,1305,771
"501",23,1313,1499,1612,864
"502",53,480,817,999,953
"503",32,1309,1636,1120,1032
"504",92,2615,1859,1055,1169
"505",38,2281,2917,2177,1539
"507",22,1951,1497,1009,736
"508",32,992,1521,1225,720
"509",25,1422,2084,2019,1679
"513",13,712,1092,772,511
"514",62,1935,2854,4341,1967
"515",34,975,1466,1231,1115
"516",19,440,583,631,471
"517",22,1261,1917,1804,1582
"518",40,1719,1785,1210,999
"519",49,2950,4047,3707,3295
"520",6,177,279,352,178
"522",2,551,671,713,504
"523",9,712,953,808,636
"524",26,885,1453,1374,988
"525",38,1027,1155,1496,1003
"526",5,117,208,179,99
"527",7,781,628,462,306
"528",35,1892,1769,1158,877
"529",43,1338,1422,1315,988
"530",36,936,1606,1316,865
"531",80,1773,1730,1208,790
"532",28,1403,1461,1479,248
"533",20,1045,1494,1208,887
"534",14,624,652,869,436
"536",39,1117,1385,1192,850
"537",30,2138,1826,1156,1020
"539",13,1433,1814,1132,320
"540",21,1854,1731,1108,921
"545",83,1523,1483,1231,1156
"546",6,605,807,647,482
"2000",20,835,1280,1247,390
"2001",0,132,208,184,123
"2002",4,1031,1718,1013,290
"2003",40,1655,1368,954,800
"2005",0,18,91,21,9
"2006",108,1812,2187,5075,1444
"2008",76,1345,1444,2499,1310
"2009",49,677,552,685,526
"2010",23,936,1227,978,749
"2012",19,985,990,713,612
"2021",20,1040,1423,1491,887
"2022",7,296,260,430,238
"2023",1,75,112,104,75
"3002",88,2080,2480,3220,1990
"3016",23,1214,2197,1775,328
"3036",0,1,0,0,0
"3041",7,247,272,162,38
"3042",15,251,243,224,59
"3043",0,124,158,106,49
"3044",3,75,88,75,22
"3046",4,116,236,110,83
"3047",14,212,394,128,99
"3048",2,206,246,93,26
"3049",15,228,295,213,164
"3050",1,196,322,160,72
"3052",2,179,338,268,34
"3053",1,176,208,126,34
"3054",7,117,277,133,57
"3055",1,229,298,151,41
"3056",4,211,254,130,29
"3057",1,302,345,110,36
"3058",9,351,258,114,18
"3059",0,131,188,90,14
"3060",0,227,205,94,28
"3061",0,93,188,87,9
"3062",0,273,205,167,15
"3063",4,155,127,83,46
"3064",13,757,610,330,104
"3065",25,161,141,116,26
"3066",1,309,225,100,22
"3067",4,353,203,127,32
"3068",7,323,311,188,38
"3069",6,122,136,107,19
"3070",3,261,259,158,25
"3071",6,245,217,143,31
"3072",22,168,260,105,43
"3073",6,327,243,118,47
"3074",1,250,257,124,29
"3075",1,159,120,86,9
"3076",4,553,654,245,84
"3077",2,591,674,187,79
"3078",8,437,776,451,118
"3080",1,454,399,265,54
"3081",4,421,554,202,68
"3082",12,798,787,403,69
"3083",9,563,612,299,76
"3085",10,680,735,454,90
"3086",46,855,1245,485,148
"3087",10,687,922,444,111
"3088",17,277,410,190,28
"3090",1,928,1677,821,243
"3091",0,179,338,131,21
"3092",9,802,1363,796,173
"3093",10,1245,1869,952,289
"3094",3,312,501,204,48
"3095",3,317,381,108,33
"3096",2,510,820,569,115
"3100",2,422,705,293,104
"3101",3,583,979,653,160
"3102",5,338,529,304,74
"3105",0,229,514,326,44
"3106",17,513,641,334,200
"3107",6,813,1344,807,157
"3108",2,526,793,394,210
"3109",12,491,822,396,82
"3110",6,562,1002,432,172
"3112",8,932,1629,996,119
"3113",5,614,908,509,169
"3115",7,423,799,344,109
"3116",2,333,836,448,92
"3117",3,378,507,323,84
"3118",9,539,647,425,150
"3119",6,560,1079,681,295
"3120",7,175,294,327,86
"3121",3,139,275,164,83
"3122",0,117,312,250,28
"3123",2,75,133,141,80
"3124",7,345,674,565,91
"3125",4,331,454,301,90
"3126",5,471,621,373,201
"3127",1,80,187,168,33
"3128",1,79,94,86,66
"3129",22,769,1154,880,244
"3130",5,250,293,174,57
"3131",14,371,512,413,377
"3132",5,457,724,829,572
"3134",27,483,595,555,362
"3135",9,321,598,324,370
"3136",40,331,464,1104,371
"3137",60,619,837,2021,701
"3139",27,423,579,925,618
"3140",29,1002,1408,1082,663
"3141",32,1507,2077,1611,1138
"3142",21,1186,1370,1082,696
"3143",66,575,771,1748,586
"3144",7,140,213,252,232
"3145",74,324,423,494,438
"3146",37,617,581,550,386
"3147",58,1337,1510,1060,807
"3148",58,663,837,692,544
"3150",12,540,691,402,444
"3151",4,183,196,162,152
"3152",17,383,384,307,309
"3155",28,530,719,646,544
"3156",14,711,1187,937,729
"3157",20,233,308,367,441
"3158",43,769,1224,1555,1373
"3159",38,779,1463,1307,1304
"3160",56,599,786,1931,635
"3161",16,446,1255,939,1010
"3162",14,299,640,600,676
"3163",84,1120,1591,2623,1185
"3164",72,1197,2482,2149,1727
"3165",66,887,1415,3129,1313
"3166",42,533,942,978,917
"3167",47,1124,2009,1461,1725
"3168",64,778,1169,1935,974
"3169",15,356,599,705,736
"3170",24,502,978,793,685
"3171",19,601,950,806,816
"3172",11,403,791,593,552
"3173",22,648,983,1327,612
"3175",6,61,89,73,102
"3176",10,517,999,732,556
"3177",30,491,784,730,792
"3178",19,283,624,690,604
"3179",6,193,127,116,22
"3180",73,319,427,1184,151
"3182",28,184,269,755,131
"3221",2,121,199,97,57
"3223",16,1099,1458,1348,1202
"3226",40,532,933,1073,848
"3232",28,535,961,717,251
"3233",29,1007,1710,1928,1291
"3235",18,1035,1624,1450,1307
"3236",21,798,1155,1277,1098
"3240",22,11,0,0,0
"3241",4,249,396,104,72
"3242",18,338,587,539,298
"3243",31,871,812,743,573
"3244",69,877,811,719,706
"3249",9,301,256,195,70
"3254",23,230,386,958,157
"3255",18,985,1489,1282,1047
"3256",114,1526,1638,2861,1065
"3258",44,1900,2083,1546,879
"3260",57,1443,1780,1508,962
"3263",54,3041,2118,1508,1126
"3282",67,835,871,3033,650
"3283",21,518,909,782,658
"3284",26,281,336,333,331
"3285",42,520,698,695,800
"3289",9,282,403,333,434
"3292",33,329,313,833,338
"3293",24,328,540,600,591
"3294",26,226,330,462,264
"3295",60,664,970,1682,920
"3296",6,415,448,290,252
"3297",12,172,323,238,148
"3298",9,161,522,393,244
"3299",3,102,136,68,48
"3300",35,220,531,579,319
"3301",77,738,1010,864,779
"3302",1,236,168,136,57
"3303",3,134,350,326,209
"3304",25,120,383,377,357
"3305",22,985,1122,756,502
"3306",41,147,402,373,264
"3307",12,310,464,424,474
"3308",25,139,482,412,313
"3309",10,122,168,136,104
"3310",38,144,418,363,251
"3311",7,136,534,360,162
"3312",8,445,498,493,356
"3313",19,82,323,222,183
"3314",24,720,791,702,654
"3315",3,298,580,660,247
"3316",8,266,257,316,199
"3317",3,125,266,164,156
"3318",9,642,909,621,414
"3319",13,171,419,342,163
"3320",34,404,533,1050,405
"3321",10,138,482,445,210
"3322",10,153,234,135,71
"3323",20,483,524,742,379
"3324",0,166,271,127,60
"3326",33,63,51,49,64
"3327",2,106,143,84,30
"3328",11,363,567,386,280
"3329",3,269,525,381,203
"3330",10,34,77,61,16
"3331",39,263,466,570,520
"3332",4,103,313,279,178
"3333",6,15,8,14,8
"3335",12,388,669,519,289
"3336",10,447,626,524,320
"3337",2,48,117,117,64
"3338",5,247,185,172,121
"3339",8,157,426,262,107
"3340",21,37,87,86,63
"3341",27,352,367,484,269
"3342",54,33,63,85,55
"3343",3,302,268,278,146
"3344",5,130,360,309,101
"3345",3,213,388,248,215
"3346",15,270,718,653,365
"3347",9,121,191,233,123
"3348",19,72,143,244,128
"3349",22,563,891,802,420
"3350",37,466,630,578,752
"3351",10,680,612,336,181
"3352",14,78,133,127,33
"3354",18,307,798,740,451
"3356",22,271,561,451,481
"3357",13,389,343,351,422
"3358",15,153,381,315,381
"3359",12,334,507,691,544
"3360",30,546,1011,855,868
"3361",11,210,445,364,318
"3362",30,422,559,1004,537
"3363",2,133,253,196,102
"3364",4,251,404,348,237
"3365",45,221,531,575,397
"3366",42,257,321,428,474
"3367",12,376,649,919,374
"3368",25,239,516,566,261
"3369",9,346,434,381,423
"3370",19,447,629,430,246
"3371",2,54,260,222,92
"3372",21,788,937,628,612
"3373",6,216,512,413,327
"3374",43,701,701,2043,471
"3375",16,325,332,300,263
"3376",8,379,543,340,254
"3377",11,195,638,416,141
"3378",8,122,236,227,171
"3379",4,304,337,230,87
"3381",12,118,263,228,68
"3382",18,228,840,804,288
"3383",38,450,496,488,528
"3384",26,209,472,384,227
"3386",14,116,519,368,147
"3387",10,114,194,205,108
"3388",1,131,517,352,118
"3389",4,147,462,441,133
"3390",1,133,273,135,86
"3391",2,142,154,114,123
"3392",0,54,126,179,52
"3393",8,46,107,124,87
"3394",15,30,29,32,28
"3396",34,161,412,370,182
"3397",3,157,340,375,139
"3398",59,271,439,383,193
"3399",7,112,223,166,130
"3400",7,373,407,395,162
"3401",1,58,157,137,74
"3402",37,483,927,811,622
"3403",16,170,349,315,126
"3404",3,155,359,258,143
"3405",21,86,179,245,229
"3407",3,268,455,412,163
"3408",24,231,669,472,321
"3409",17,755,1551,1127,535
"3410",4,234,475,389,180
"3411",32,313,451,460,280
"3412",4,245,356,348,210
"3413",3,205,483,240,94
"3414",11,358,567,477,162
"3415",8,315,484,248,140
"3417",21,328,549,426,259
"3418",26,361,672,755,434
"3419",16,215,444,324,174
"3420",6,303,609,345,121
"3421",18,91,177,153,58
"3422",3,124,390,543,244
"3423",63,519,976,1335,635
"3424",6,100,192,148,121
"3425",4,268,363,307,115
"3427",68,1764,2118,1673,981
"3429",42,909,1598,1164,726
"3430",3,454,614,216,83
"3431",22,1182,966,676,392
"3432",0,9,13,1,5
"3434",6,49,71,83,150
"3435",101,2021,1965,1804,1421
"3437",38,294,459,705,496
"3438",7,331,528,412,366
"3440",43,554,1000,964,548
"3441",0,92,247,133,59
"3443",4,262,401,492,304
"3447",4,121,128,83,66
"3449",0,175,362,142,37
"3452",5,286,508,177,74
"3453",0,186,291,105,38
"3454",13,426,413,173,14
"3455",0,75,118,69,32
"3456",0,126,176,88,32
"3457",12,478,722,829,511
"3458",4,147,167,175,108
"3459",24,834,945,841,563
"3461",58,851,1019,1161,957
"3462",26,732,758,586,365
"3463",23,1042,1224,811,811
"3466",9,804,1234,1356,891
"3467",44,1321,1604,1359,776
"3468",0,3,3,20,8
"3469",2,222,387,204,57
"3472",37,1078,1488,1607,603
"3474",12,1121,1358,1132,634
"3477",1,85,108,143,23
"3478",4,329,421,250,69
"3479",11,147,218,626,109
"3485",0,3,2,1,0
"3486",3,460,1157,492,205
"3488",0,0,0,1,0
"3489",15,208,290,568,201
"3490",9,128,105,107,87
"3491",0,109,172,171,111
"3492",0,49,63,69,38
"3493",0,114,138,136,94
"3494",2,124,159,176,52
"3495",15,113,143,95,81
"3496",9,225,490,319,182
"3497",8,253,409,354,273
"3498",4,62,101,103,69
"3499",2,112,82,72,69
"3500",6,143,161,103,21
"3501",2,109,179,112,44
"3502",0,111,249,133,87
"3503",1,58,153,115,35
"3504",3,112,213,155,56
"3505",8,64,81,48,49
"3506",1,115,112,78,46
"3507",12,670,741,579,302
"3508",21,355,503,410,236
"3509",8,183,253,272,147
"3510",9,205,288,173,112
"3511",3,168,190,238,75
"3512",0,18,35,34,15
"3513",4,87,160,124,32
"3514",12,183,262,237,85
"3515",0,69,276,187,29
"3516",10,324,581,190,84
"3517",3,182,283,182,56
"3518",27,326,456,424,172
"3520",10,122,161,200,91
"3521",23,459,645,1183,354
"3522",0,114,246,52,49
"3523",3,92,231,142,57
"3524",3,111,322,180,37
"3525",1,46,118,71,20
"3526",3,345,673,358,98
"3527",4,134,149,81,25
"3528",11,179,217,97,31
"3529",4,339,395,475,162
"3530",0,147,205,223,19
"3531",11,162,265,159,54
"3532",1,158,343,225,94
"3533",8,244,383,205,126
"3534",30,474,844,724,400
"3535",3,147,233,281,170
"3536",34,330,356,359,237
"3537",24,228,472,251,151
"3538",8,302,413,341,280
"3539",33,340,371,219,213
"3540",13,156,171,226,148
"3541",33,153,269,203,102
"3542",49,368,292,170,89
"3543",12,104,152,58,37
"3544",10,300,361,319,109
"3545",6,201,178,133,87
"3546",2,98,155,65,26
"3547",5,476,571,478,204
"3549",2,293,481,195,83
"3551",0,150,109,78,35
"3552",29,373,249,280,237
"3553",11,481,686,614,353
"3554",5,143,129,156,38
"3555",4,235,410,240,103
"3556",1,124,227,136,49
"3557",6,59,43,52,13
"3558",4,302,759,412,133
"3559",4,50,46,41,17
"3560",0,164,173,168,70
"3561",1,92,205,125,17
"3562",26,392,565,203,76
"3563",3,132,214,82,38
"3564",1,47,47,43,18
"3565",2,117,226,97,76
"3566",0,95,224,68,48
"3567",0,61,29,18,48
"3568",1,161,404,138,33
"3569",3,331,424,198,64
"3570",6,165,355,193,119
"3571",1,316,412,159,46
"3572",7,302,450,244,177
"3573",0,82,240,95,26
"3574",4,245,414,217,119
"3575",2,89,200,142,41
"3576",8,386,722,393,247
"3577",0,40,160,101,37
"3578",10,284,293,126,45
"3579",1,361,321,148,27
"3580",14,280,480,186,63
"3581",3,289,435,342,135
"3582",12,125,200,83,13
"3583",18,296,403,408,158
"3584",7,485,608,326,101
"3585",1,119,128,68,13
"3586",3,61,59,10,59
"3587",2,123,119,109,13
"3588",2,161,252,201,85
"3589",5,117,183,53,46
"3590",6,71,146,15,5
"3591",7,138,283,170,65
"3592",0,185,395,183,94
"3593",8,441,728,346,145
"3595",0,120,322,136,39
"3596",0,39,44,34,7
"3597",2,137,311,125,90
"3598",1,162,205,76,46
"3599",32,346,407,450,134
"3601",1,70,108,86,13
"3602",0,203,474,221,59
"3603",2,135,365,138,104
"3604",12,204,155,98,34
"3605",0,139,379,109,42
"3606",1,53,186,105,94
"3607",22,96,163,95,36
"3608",3,78,208,95,50
"3609",0,33,76,65,18
"3610",5,189,418,240,79
"3611",1,51,120,133,19
"3612",9,85,154,56,41
"3613",2,207,391,307,73
"3614",5,169,297,193,84
"3615",6,246,379,255,90
"3616",0,97,165,74,23
"3617",1,147,430,156,35
"3618",2,125,316,117,27
"3619",2,197,295,81,39
"3620",0,10,8,16,10
"3621",25,98,117,37,39
"3622",14,82,247,79,39
"3623",14,260,249,240,181
"3625",0,77,108,86,34
"3628",16,213,269,257,142
"3629",8,129,209,199,102
"3631",0,109,130,36,5
"3632",35,1574,1358,825,657
"3635",59,1469,1613,1416,847
"3637",11,352,647,421,259
"3641",34,1885,2402,2350,1580
"3646",0,104,89,53,61
"3647",0,31,115,55,39
"3648",3,335,580,359,109
"3649",3,114,192,103,62
"3650",0,0,12,0,0
"3653",23,121,198,79,43
"3654",3,150,132,104,78
"3656",26,1583,1311,784,561
"3658",14,839,923,934,692
"3659",17,1140,1519,1257,677
"3660",12,948,1308,690,489
"3661",1,70,46,65,21
"3662",9,239,259,149,73
"3663",17,330,739,490,325
"3664",38,1338,1292,1423,900
"3666",2,258,451,189,67
"3668",2,429,690,269,117
"3669",6,68,61,31,35
"3671",4,169,187,148,82
"3673",4,380,374,208,39
"3674",25,832,1421,1069,408
"3675",5,215,332,264,187
"3676",12,190,368,420,179
"3680",13,777,1202,1559,938
"3684",32,890,1161,994,898
"3686",25,1860,2214,1561,1020
"3687",5,526,577,411,245
"3688",2,199,208,153,180
"3689",0,90,125,102,66
"3691",0,7,5,3,1
"3692",0,0,0,2,0
