Stationid,0-19,20-29,30-39,40-49,50-100
"515",22,845,1405,955,1114
"488",2,403,736,497,491
"461",17,1795,1661,866,924
"2009",6,496,433,439,474
"360",1,530,831,383,365
"310",7,203,636,390,297
"284",29,1570,2883,1450,1842
"258",5,234,779,384,205
"433",14,1619,1429,553,638
"309",8,763,939,641,728
"223",21,675,1108,562,772
"471",6,439,808,220,74
"3166",40,463,872,499,912
"415",5,474,824,603,411
"3392",1,58,142,88,39
"3223",4,702,1421,1070,1051
"388",31,679,1314,1054,1126
"3143",18,337,536,363,466
"450",6,1165,2006,1039,1020
"285",35,2137,2509,1397,1565
"3155",4,434,759,571,553
"387",27,886,1356,964,903
"383",9,1230,1764,909,903
"348",14,1173,1680,881,998
"3162",6,250,593,374,641
"540",15,1411,1572,818,734
"297",62,1865,1742,943,1035
"368",23,2454,3046,1307,1467
"445",13,1903,1712,674,966
"3091",0,166,340,79,16
"3408",5,117,481,249,327
"3224",18,1574,2271,1030,1122
"319",26,696,1093,627,644
"482",11,1104,1927,994,1219
"479",7,1221,2016,1135,1096
"3431",11,804,963,538,440
"128",26,1912,2558,1356,1097
"3086",6,519,1111,312,116
"499",34,981,1988,1217,1598
"497",32,2357,3639,2206,2618
"545",25,1404,1709,878,1093
"247",16,676,1168,533,580
"276",15,574,696,415,638
"265",23,1250,1467,805,863
"3259",14,773,1162,696,713
"470",3,837,1337,803,807
"453",16,987,1670,1043,1534
"519",9,2765,4815,3605,4289
"3107",3,510,1449,408,130
"402",16,2302,3726,2413,2224
"334",10,1106,1773,999,1196
"422",9,569,892,446,525
"530",19,639,1764,969,920
"460",1,647,1592,396,184
"343",1,240,494,250,174
"3096",0,384,986,366,84
"389",0,455,1068,273,119
"3146",34,391,532,346,447
"539",5,942,1852,684,227
"483",10,1672,1909,753,751
"527",13,1569,1747,1026,912
"3175",10,520,1068,768,905
"3419",23,203,445,194,118
"504",49,1990,2078,815,1179
"3060",0,104,189,70,39
"2008",30,1076,1541,1125,1142
"3379",1,215,259,135,120
"236",21,1702,1628,826,780
"164",5,643,1076,635,663
"252",31,787,1147,583,745
"237",32,1714,1791,809,909
"465",12,1073,2244,1451,1323
"380",12,1098,1649,879,1011
"478",30,930,1652,986,893
"522",1,617,906,699,747
"72",7,718,1330,721,770
"336",16,1268,1396,614,702
"502",24,395,850,856,928
"3256",50,1128,1602,886,1087
"3122",0,203,297,164,53
"281",15,959,1876,1260,1355
"447",9,815,1373,910,841
"350",21,516,733,755,734
"467",17,293,981,422,335
"401",77,1941,1819,692,524
"505",6,1556,2588,1253,1323
"473",4,867,1289,589,374
"3416",27,271,763,432,374
"3360",13,389,813,541,763
"3128",0,86,131,64,45
"361",61,1318,1513,707,624
"251",6,1303,1939,809,652
"3258",6,1105,1718,708,801
"3071",4,224,269,45,29
"3415",13,167,452,188,146
"3244",55,858,913,611,823
"458",6,1381,2184,1198,1026
"312",26,1699,1554,736,711
"536",10,913,1493,873,885
"477",14,1508,2949,1984,1998
"532",10,996,1433,368,220
"376",5,592,691,499,433
"344",0,214,428,186,113
"3456",0,48,137,32,14
"274",12,217,784,296,284
"229",12,1886,2668,1207,1282
"3323",10,478,657,393,405
"3002",25,1663,2382,1492,1951
"3435",15,1462,1931,1017,1284
"529",8,1079,1358,970,1049
"3145",73,352,536,342,564
"526",7,896,1613,937,844
"480",7,853,1355,691,589
"495",11,795,1467,880,694
"3165",34,634,1277,767,991
"462",23,1046,1732,1397,1281
"435",18,2101,3502,2229,2553
"3316",3,208,252,140,195
"366",2,348,953,518,220
"432",14,2469,2224,854,838
"377",25,1037,1741,983,576
"244",6,217,542,374,192
"3120",1,102,255,132,96
"212",23,1222,2278,1377,1210
"335",14,956,831,571,695
"3382",9,172,594,479,292
"3103",0,305,522,213,86
"403",6,1076,1307,551,598
"173",2,914,1757,1269,1206
"369",41,703,1006,559,588
"82",5,218,260,243,278
"3074",0,594,762,148,60
"291",12,345,541,314,326
"347",15,1160,2073,1141,1226
"2021",5,938,1522,1012,1076
"261",0,352,663,242,146
"311",21,691,885,601,547
"3255",4,1376,2889,2657,2988
"143",18,176,793,676,453
"2003",26,1701,1478,500,703
"358",28,1493,2543,1493,1593
"438",17,1455,1527,593,545
"511",37,1837,1494,605,932
"474",6,886,1550,951,1033
"3338",1,189,166,54,43
"3402",12,345,839,504,442
"449",1,645,950,543,498
"426",110,2570,3536,2384,2295
"469",14,637,1047,748,745
"3088",0,234,400,85,20
"3055",1,148,281,110,15
"238",26,532,890,610,774
"152",14,499,734,629,652
"487",3,1278,1280,586,853
"3282",22,483,642,512,618
"443",0,165,247,44,20
"3401",7,34,147,95,57
"472",31,1226,1633,1251,1250
"3305",13,513,870,420,341
"3418",14,290,768,545,453
"507",10,1884,1714,765,703
"323",2,487,1021,461,378
"295",11,609,923,497,612
"254",8,557,995,553,637
"3147",33,562,873,431,454
"3113",0,545,912,294,126
"260",3,326,505,309,268
"3085",0,340,664,212,51
"3443",6,978,1835,1734,1400
"3094",2,204,509,125,41
"3466",11,620,909,666,649
"2010",10,876,1237,549,651
"503",32,1265,1813,936,1149
"325",38,913,1224,563,722
"516",6,315,475,486,532
"481",0,589,1043,207,95
"3335",2,189,531,281,164
"3141",11,1317,1875,1226,1072
"346",13,674,1299,780,933
"3343",4,241,237,128,155
"406",11,264,724,417,650
"279",6,971,1189,743,664
"534",0,364,578,400,334
"491",10,1365,1710,1053,961
"3016",2,811,1927,731,339
"328",16,951,1421,787,759
"3164",26,630,1526,1040,1136
"500",4,555,1130,770,759
"3462",6,596,655,491,431
