Stationid,0-19,20-29,30-39,40-49,50-100
"305",6,659,1454,939,967
"3112",2,638,1564,706,146
"419",0,234,218,177,86
"442",5,1057,1899,1464,1698
"384",3,385,939,324,213
"3236",3,652,1128,1025,1241
"399",6,219,612,303,202
"524",5,890,1623,1239,1165
"266",12,486,448,246,238
"3129",2,577,930,376,232
"3353",7,137,341,200,140
"3102",1,300,590,209,77
"2012",15,958,1207,629,667
"3349",12,515,1046,517,417
"3087",1,416,697,199,99
"457",16,1054,2062,1276,1344
"528",11,1130,1454,750,819
"3110",3,417,827,375,136
"3101",2,375,710,293,101
"3073",0,156,315,67,19
"509",14,1155,2077,1402,1800
"3263",26,2627,2461,1208,1220
"3082",2,510,679,148,71
"3171",26,430,1090,565,802
"531",14,1148,1696,800,840
"3458",8,755,1227,802,959
"3294",19,126,306,283,330
"3238",35,440,627,303,272
"382",37,1711,2525,1326,1616
"3318",14,425,850,300,261
"2000",6,488,977,424,257
"441",4,842,1109,450,505
"410",13,1640,1395,814,645
"3285",31,318,566,394,565
"365",4,294,506,171,94
"3383",45,723,955,487,810
"116",42,903,1699,936,940
"3289",28,173,352,271,370
"315",7,730,1449,980,867
"3293",16,316,432,385,511
"353",3,150,465,272,103
"267",4,1042,1456,947,932
"3231",1,132,272,212,304
"3105",0,156,382,132,54
"3463",11,837,1132,599,689
"486",5,1043,2011,1260,947
"161",5,1551,1640,834,936
"3309",5,85,152,99,35
"448",16,1402,1678,716,689
"3115",2,303,831,207,131
"523",7,1731,2932,1992,1808
"3301",11,322,656,375,449
"3314",18,465,627,438,608
"3111",0,200,580,285,87
"83",15,299,525,347,244
"393",2,711,651,277,338
"428",23,1510,1547,799,754
"3453",3,350,620,195,83
"326",14,1495,1354,621,700
"3233",2,732,1270,1088,1116
"3457",0,328,630,488,453
"412",42,869,1209,648,727
"3284",19,177,299,177,326
"228",5,468,948,626,587
"3420",10,152,529,155,59
"423",12,551,989,602,534
"514",33,1500,2762,1914,2060
"394",3,1061,1201,485,612
"397",3,191,450,169,101
"439",5,1451,1394,670,810
"324",5,304,884,439,407
"372",0,209,244,88,31
"293",16,2094,2540,1177,1305
"3167",25,594,1556,869,1223
"3428",10,1511,2330,1200,966
"492",21,1333,2179,1635,1623
"354",0,316,427,289,119
"3354",19,210,499,304,370
"444",17,1267,2233,1388,1375
"317",11,1514,1148,610,523
"3083",0,406,499,80,89
"351",17,544,666,493,610
"498",8,1292,1888,1063,766
"3378",13,247,489,330,390
"150",6,885,911,358,306
"302",9,588,513,299,474
"316",5,685,823,479,517
"2023",3,419,745,555,530
"2006",26,1031,1604,962,1037
"242",0,358,488,247,164
"356",14,268,477,553,622
"3307",7,325,498,314,504
"3364",5,152,394,246,272
"411",3,482,656,341,420
"405",16,1208,2112,1012,958
"3319",21,110,409,256,162
"390",0,303,582,390,299
"3159",17,403,1094,807,883
"3064",0,502,488,156,63
"385",11,785,1016,624,742
"546",22,1144,1410,875,880
"379",11,1353,2252,1706,1904
"3168",33,496,996,672,864
"3356",5,194,398,263,350
"270",1,264,764,335,218
"3151",26,437,733,291,409
"484",8,653,1113,1098,1180
"259",8,599,800,596,702
"3072",17,196,202,71,45
"157",13,318,781,411,362
"307",32,826,1255,820,904
"3092",1,496,1239,431,148
"195",23,841,1326,791,812
"151",19,1978,2726,1222,1252
"3148",4,171,290,192,185
"2002",4,698,1599,632,251
"3423",33,307,784,555,401
"3163",48,684,1422,648,892
"3140",76,834,1202,835,749
"3108",3,340,779,272,177
"3387",7,147,110,133,93
"243",4,143,686,301,216
"490",7,1661,3164,2252,2246
"3042",61,227,259,113,71
"3311",6,107,452,279,147
"340",16,461,441,369,414
"3152",7,240,402,202,273
"296",3,560,923,627,716
"174",19,1096,914,548,519
"3142",33,869,1390,786,701
"257",9,830,1398,731,714
"418",1,238,499,248,184
"332",15,242,519,385,534
"306",6,859,907,480,481
"3459",3,691,667,487,429
"446",5,1217,2127,1350,1533
"525",5,640,1055,734,691
"167",11,1332,1582,889,862
"3226",26,363,718,437,648
"330",5,328,800,450,719
"342",24,326,432,407,625
"3358",27,79,245,236,350
"320",2,580,1080,588,563
"3290",49,282,473,292,377
"3375",7,222,257,168,269
"3336",3,311,567,258,280
"363",21,709,1257,1085,1120
"345",24,1079,1524,913,1234
"3350",23,297,520,343,692
"3161",19,293,807,425,671
"3399",1,53,161,146,93
"3127",2,39,110,78,34
"3144",3,107,154,153,215
"3400",8,353,559,313,237
"3063",0,116,90,60,43
"3315",8,128,523,519,231
"120",0,131,440,136,100
"3157",22,135,246,164,315
"427",2,470,594,545,601
"468",7,823,1637,1071,912
"3424",1,175,137,88,72
"146",31,550,901,592,793
"3288",57,367,647,333,412
"513",6,490,1003,548,540
"391",23,364,1032,496,633
"3436",16,899,1029,1036,785
"3054",0,150,243,118,43
"420",1,119,418,189,85
"3176",5,422,921,457,489
"337",3,415,619,369,353
"224",7,382,555,378,339
"280",3,651,902,530,677
"3440",11,312,734,526,479
"3121",3,129,252,119,59
"3386",2,93,285,247,147
"3320",11,241,445,214,340
"3310",32,107,329,279,198
"232",2,138,332,207,219
"408",9,431,468,334,301
"494",20,1030,1788,1082,1376
"3119",0,458,1292,619,232
"537",16,1846,1790,872,866
"3370",25,245,315,183,182
"355",9,777,1230,614,762
"3409",20,439,1308,802,466
"3160",16,323,693,366,522
"79",38,415,848,712,813
"508",8,723,1534,894,730
"3076",1,254,409,78,54
"3434",18,127,279,293,457
"3172",4,221,640,296,326
"3077",13,439,733,174,84
"3100",1,280,762,129,102
"313",0,267,533,297,114
"3283",26,310,571,354,320
"396",1,396,701,198,93
"3328",3,199,475,164,174
"518",23,1560,1944,1112,1210
"301",6,1691,1524,552,469
"476",12,1459,1289,803,710
"3156",15,444,964,703,645
"327",33,902,2280,1715,1301
"466",5,1324,2089,1076,928
"501",12,981,1398,994,959
"407",6,154,372,258,149
"303",14,870,1169,718,631
"3169",11,230,538,405,706
"417",7,922,1678,1237,883
"430",3,589,1386,594,383
"3429",13,571,1310,937,638
"3329",1,153,460,260,136
"359",2,1115,2220,2101,2018
"3447",36,442,671,331,360
"3376",2,339,441,286,278
"3295",12,348,658,450,669
"349",6,940,654,265,197
"3438",11,251,384,263,287
"3260",28,1151,1512,1190,1087
"3081",2,300,407,129,58
"278",4,201,444,123,113
"520",16,445,889,725,826
"456",2,381,706,682,664
"3124",0,217,602,263,86
"3321",3,108,367,383,178
"3078",3,392,735,221,83
"262",2,162,478,265,153
"153",5,863,1682,1123,1231
"3126",0,204,524,244,173
"3135",6,329,540,230,310
"3374",47,777,1254,572,618
"3057",0,232,302,39,21
"455",11,465,821,811,725
"3413",1,197,316,105,68
"3118",1,246,547,248,132
"3403",8,134,377,214,133
"3371",0,32,180,173,76
"248",16,215,339,364,297
"3049",14,69,230,128,129
"3388",0,94,342,300,106
"3056",5,198,265,109,40
"3047",1,324,431,123,49
"3312",15,146,463,264,231
"339",12,269,270,254,314
"3178",3,306,538,228,609
"127",21,1203,2219,1336,1401
"3306",30,91,329,264,225
"282",9,355,658,311,161
"3304",16,80,285,277,352
"3341",17,181,288,217,263
"3106",10,221,579,277,184
"3417",4,218,472,218,232
"3070",1,166,159,94,11
"304",21,959,1370,974,1029
"275",0,110,351,266,142
"216",3,110,225,145,179
"3052",1,122,422,212,41
"3158",17,512,1210,754,1209
"3346",19,157,446,378,276
"3131",6,157,345,214,312
"241",7,257,550,326,185
"3090",5,795,1625,589,260
"3062",0,240,235,70,37
"3308",17,112,423,320,336
"341",8,290,396,236,381
"3322",7,106,181,86,93
"3404",4,66,345,111,154
"3372",24,481,796,406,363
"3041",0,160,232,53,30
"3445",29,197,256,232,328
"3080",9,337,430,187,43
"3332",6,53,208,171,95
"3362",16,283,439,337,408
"168",5,1564,2854,1517,1684
"3235",2,472,720,576,713
"3137",10,463,860,565,817
"3339",3,103,335,192,118
"3452",2,118,420,110,48
"3357",8,220,409,184,295
"3130",0,123,178,38,90
"3134",12,336,614,390,302
"454",2,529,686,390,488
"3331",46,246,403,334,403
"331",47,418,475,244,306
"3366",8,211,228,195,252
"459",34,2093,3366,1928,1798
"485",1,702,1070,785,662
"239",0,316,832,494,205
"3405",31,110,95,177,184
"3093",5,893,1722,553,255
"3297",7,123,179,174,116
"373",0,139,190,84,61
"264",13,686,808,404,347
"3368",25,172,452,377,320
"416",4,243,517,412,157
"3173",16,450,956,674,590
"3109",0,372,786,175,63
"3300",34,159,421,336,254
"3313",5,49,266,157,160
"322",2,150,330,240,272
"3150",11,388,540,337,483
"3232",0,270,618,413,177
"119",0,37,93,83,63
"249",8,366,605,442,583
"496",11,1267,2136,978,1232
"3427",26,1593,2188,1323,1027
"517",4,681,1307,1238,1292
"3347",5,72,285,211,126
"3286",24,487,792,394,288
"3058",4,168,286,70,16
"440",1,571,910,614,706
"321",10,230,523,251,182
"3125",0,227,561,186,111
"308",13,408,642,381,472
"3116",0,232,972,276,110
"3337",0,28,76,68,30
"3351",3,552,629,128,127
"3317",9,85,223,138,157
"3043",3,104,190,94,19
"3292",9,183,289,239,304
"3139",15,255,438,297,443
"3455",1,98,323,99,111
"357",11,634,843,622,748
"3377",6,77,407,222,133
"3421",9,58,186,120,48
"400",1,299,239,130,120
"3384",3,152,354,238,122
"392",4,423,690,284,231
"3398",25,144,361,222,130
"3464",4,734,1091,700,600
"2022",2,160,297,179,221
"3117",1,191,441,159,104
"3365",10,145,349,409,261
"414",17,290,701,391,255
"3389",3,129,374,342,111
"3367",3,230,463,258,292
"421",1,216,237,184,35
"3053",1,165,100,39,10
"3298",4,147,552,298,237
"3095",1,143,348,81,20
"3396",4,111,529,302,137
"3361",9,117,312,295,288
"3407",7,165,476,181,132
"409",0,203,351,140,18
"3393",0,46,114,166,21
"3461",17,595,767,589,569
"398",7,302,828,536,313
"217",8,468,876,436,480
"3324",0,108,194,126,61
"3430",6,362,507,221,67
"3327",0,59,131,59,29
"3390",12,214,351,210,99
"268",10,932,1341,755,624
"364",1,375,493,194,91
"3046",0,102,257,119,53
"3391",0,213,234,82,157
"253",7,796,1134,796,981
"3180",9,206,376,187,130
"3325",9,167,285,182,175
"3344",0,71,284,137,89
"3422",1,81,316,414,180
"3411",2,177,289,259,215
"3345",0,160,308,128,192
"3397",7,153,382,232,173
"3414",6,241,522,281,155
"436",0,148,279,111,53
"3136",8,232,273,247,270
"3048",3,189,257,65,42
"3179",2,82,164,86,17
"3067",6,201,364,68,50
"437",1,427,691,329,130
"3454",0,292,422,96,36
"3373",4,152,459,297,279
"3425",2,190,329,196,102
"3059",0,119,180,74,3
"3069",5,100,158,42,22
"386",7,427,693,501,605
"3249",4,224,214,79,41
"3243",3,383,583,396,467
"3355",6,145,235,179,249
"395",1,278,761,329,212
"3412",2,148,327,225,109
"3449",1,83,209,115,18
"245",3,175,307,131,71
"3395",9,52,60,38,26
"3363",4,96,191,89,59
"289",0,234,335,128,59
"3241",0,140,334,91,47
"3050",0,154,256,68,52
"3242",2,179,518,385,336
"3061",0,47,200,43,5
"3381",3,68,272,235,57
"3410",11,104,320,203,144
"3065",0,116,171,66,15
"314",18,202,575,422,361
"3348",21,59,128,146,112
"3303",1,53,268,207,138
"3044",0,104,111,62,12
"3068",1,291,310,69,35
"2001",1,56,211,81,72
"3359",3,129,248,190,229
"3066",9,172,248,37,19
"3221",0,77,216,86,59
"3352",14,19,133,48,27
"144",2,140,247,93,110
"3182",5,107,269,187,114
"3333",2,43,36,1,32
"3239",0,2,0,2,0
"3254",6,105,210,127,131
"3394",9,18,79,21,9
"3340",0,20,38,67,58
"3342",7,57,50,60,85
"3075",0,84,103,21,13
"3432",0,7,40,4,8
"2005",0,65,120,42,31
"3468",1,12,6,0,13
"3123",0,90,124,103,43
"3245",0,68,79,21,3
"3326",4,22,43,30,50
"3441",0,82,152,126,48
"3302",10,107,86,29,32
"3330",4,14,38,21,32
"3040",0,1,0,0,0
"3132",6,241,454,401,417
"3469",0,58,239,48,51
"3170",10,201,419,305,405
"3177",14,226,468,275,394
"434",14,685,1045,700,644
"3250",0,1,5,0,0
"3036",0,0,3,0,0
"3369",5,76,132,68,118
"3257",0,2,2,5,3
"3470",0,0,5,0,0
"3248",0,0,0,1,1
"3472",0,47,126,67,62
"3474",0,13,5,1,4
