Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"72",47,48,31,14,6,27,66,226,335,263,210,217,274,259,184,235,275,441,467,382,241,134,97,80
"79",28,15,9,9,1,13,31,70,164,144,140,154,156,216,217,165,245,344,460,278,158,80,59,33
"82",5,4,1,2,1,11,37,49,43,71,57,58,56,65,62,83,89,83,111,109,70,33,31,15
"83",23,10,6,7,2,3,28,42,58,51,70,78,99,105,102,109,148,161,193,170,141,74,84,59
"119",0,1,2,0,0,0,12,19,20,24,15,28,17,24,27,11,25,25,15,24,5,4,7,0
"120",14,8,31,0,6,11,43,105,105,113,81,65,65,62,58,42,59,85,73,89,53,39,27,24
"127",56,25,16,8,1,32,133,237,431,633,384,359,332,366,332,346,406,650,743,594,364,227,159,99
"128",73,44,22,17,17,22,55,181,487,435,261,306,306,373,319,343,412,656,914,567,364,248,202,128
"143",9,10,17,7,8,6,23,84,213,223,128,127,143,124,123,130,155,307,249,160,85,51,34,32
"144",12,6,1,1,1,5,3,21,31,33,41,47,54,73,57,92,73,70,61,80,52,30,17,34
"146",22,16,10,3,1,15,58,115,188,164,141,150,174,223,190,186,224,320,405,385,174,116,83,55
"150",20,12,6,9,11,33,121,266,482,340,125,108,113,124,121,120,138,158,218,231,126,86,48,59
"151",73,45,22,16,10,14,90,152,376,399,361,390,462,564,554,532,629,851,825,582,432,315,193,119
"157",30,24,5,5,1,18,49,79,167,149,126,100,89,84,90,139,191,163,178,178,112,114,72,75
"161",98,50,22,18,7,28,55,109,273,235,228,215,304,337,325,322,385,537,508,447,411,323,282,180
"164",17,12,2,1,1,5,39,113,237,233,157,111,176,144,163,164,321,532,279,118,103,55,50,33
"167",32,18,9,2,7,15,73,284,546,418,236,213,285,245,305,283,297,398,366,209,140,95,89,56
"168",26,15,7,4,2,10,90,179,375,468,360,398,454,548,529,588,735,1086,884,422,273,133,62,53
"173",51,25,22,9,16,34,142,351,664,746,458,426,402,436,373,459,520,538,474,260,190,163,151,100
"174",25,9,6,2,11,12,92,247,606,280,162,149,140,140,160,174,174,264,254,235,202,115,80,34
"195",30,20,20,11,3,4,32,131,279,335,161,196,270,255,278,281,462,599,299,199,134,82,65,66
"212",33,22,13,16,5,9,30,128,372,356,199,238,291,329,326,380,505,499,440,372,236,128,92,66
"216",7,7,0,0,0,8,20,28,59,28,40,66,73,46,62,64,77,79,73,85,78,55,34,11
"217",41,20,7,6,1,4,12,27,91,86,123,124,203,303,374,371,380,417,382,348,304,251,159,117
"223",54,22,15,10,10,32,64,167,269,216,169,206,278,234,216,226,270,331,454,433,326,234,156,91
"228",13,12,7,3,0,7,28,40,116,87,90,138,151,170,171,206,382,618,179,98,76,38,32,32
"229",53,32,23,10,3,25,104,204,508,620,436,415,480,490,477,490,579,668,881,709,432,224,145,87
"232",29,1,12,15,5,13,10,13,34,47,59,77,89,126,169,132,188,162,213,147,98,55,23,23
"236",111,70,51,25,19,20,92,227,304,259,171,227,260,327,301,299,297,402,605,450,406,313,264,201
"237",97,48,28,16,29,44,136,346,411,251,214,247,309,326,334,314,305,424,524,456,338,277,251,176
"238",37,12,12,8,1,29,121,243,225,118,139,140,147,172,189,192,244,238,283,231,196,111,66,58
"239",25,17,7,2,11,24,33,56,145,187,151,116,131,135,136,134,182,333,448,246,164,121,110,43
"241",14,7,3,0,1,7,24,92,177,174,101,97,109,88,102,106,72,106,114,110,67,36,30,26
"242",10,7,2,3,0,3,5,13,34,63,33,59,89,75,74,78,106,262,190,88,47,36,15,14
"243",10,2,3,4,4,17,8,52,67,66,42,53,61,58,46,64,74,103,119,111,70,64,40,20
"244",11,15,5,1,2,22,86,170,265,158,80,75,61,68,59,77,101,129,126,104,50,44,27,26
"245",12,5,5,2,4,5,27,37,72,58,51,39,45,44,31,45,43,61,57,55,53,29,20,24
"247",38,25,5,11,8,29,134,189,159,126,140,148,183,164,161,177,216,238,270,222,168,108,84,59
"248",5,4,1,0,2,2,15,22,45,63,69,76,85,98,89,78,103,253,179,79,51,35,18,19
"249",12,3,4,1,2,15,27,72,77,107,65,67,96,109,80,87,179,297,216,133,91,39,51,32
"251",75,41,24,13,24,21,82,118,410,396,245,304,355,368,314,316,329,492,735,603,395,269,181,154
