Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"444",50,38,28,4,4,10,20,74,117,145,174,197,334,428,427,388,385,565,527,300,222,176,118,57
"406",43,25,11,15,4,6,21,47,107,71,47,88,96,94,102,113,125,126,135,120,119,83,75,73
"475",25,12,9,5,8,9,24,72,176,153,104,112,115,136,132,117,151,197,205,173,144,90,84,49
"2008",13,8,3,2,3,1,4,26,52,54,36,58,68,76,85,106,116,126,114,94,66,64,25,32
"485",34,19,9,5,8,6,38,68,106,107,96,112,157,175,169,176,180,260,175,146,86,80,45,36
"285",85,27,27,21,11,14,31,85,164,187,201,236,311,330,390,340,348,437,468,417,332,248,185,120
"509",45,11,12,17,3,8,46,112,181,157,137,179,192,208,206,225,212,265,301,255,187,124,103,70
"265",24,22,12,7,10,4,9,21,43,75,90,71,101,122,135,118,138,120,171,148,125,84,45,39
"404",73,43,30,28,20,9,31,60,101,118,117,172,234,265,299,315,349,349,442,318,202,157,142,146
"423",19,7,11,7,9,2,33,58,96,51,71,68,82,119,88,94,82,108,143,120,80,62,47,39
"502",2,1,0,2,0,13,25,39,78,63,42,36,65,53,54,34,35,50,56,49,20,14,8,5
"241",4,1,2,1,0,3,12,51,57,55,31,37,58,35,35,46,33,40,34,40,20,18,12,8
"486",21,10,7,2,0,2,18,51,119,120,75,113,139,163,118,109,138,178,210,126,104,56,41,40
"527",18,5,8,2,1,21,21,63,165,94,65,58,76,95,91,90,87,131,143,112,79,61,40,32
"309",39,11,7,6,1,2,12,12,40,46,51,84,120,146,156,168,185,332,233,180,126,77,57,37
"503",10,3,6,1,2,2,11,27,45,96,73,83,53,87,107,76,111,148,135,107,63,27,35,28
"257",19,19,12,5,1,4,13,16,54,54,39,58,81,98,99,97,101,125,196,129,75,50,51,22
"494",38,10,16,8,4,12,26,48,94,89,67,64,88,104,76,86,97,136,155,123,119,95,78,52
"380",57,40,25,11,3,7,37,61,155,124,107,118,130,188,168,173,146,254,287,189,129,110,89,80
"305",23,18,6,9,2,1,13,38,128,116,116,126,161,210,192,216,222,333,272,222,139,96,66,35
"480",6,6,7,3,3,4,31,94,130,84,66,65,66,82,69,63,65,110,129,88,86,49,34,20
"453",44,23,27,6,2,3,22,92,234,125,78,99,110,110,121,133,122,151,140,167,114,75,70,52
"223",28,15,7,1,3,5,17,37,125,98,63,82,97,110,86,79,140,141,135,121,122,85,54,44
"476",47,29,9,3,8,17,59,87,153,147,108,109,128,111,122,112,141,204,254,201,141,100,85,47
"151",60,38,20,9,11,2,18,34,81,104,109,137,232,256,273,263,265,329,381,299,214,145,123,96
"312",52,34,24,16,8,16,32,44,135,119,74,100,114,106,130,132,114,126,156,136,124,86,94,65
"482",42,17,13,10,3,14,56,66,151,158,123,135,179,162,167,152,165,225,274,232,166,116,94,51
"439",86,39,41,19,21,8,35,86,169,230,104,121,150,198,204,170,219,183,223,213,162,133,140,111
"531",42,19,8,10,4,5,15,26,52,96,44,68,105,121,132,111,118,121,141,128,107,90,72,52
"358",51,40,9,6,4,15,68,125,274,151,153,176,228,264,290,252,269,287,336,280,191,166,99,78
