Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"151",94,44,38,20,6,22,99,195,441,463,402,425,477,573,603,571,646,871,939,709,527,304,182,126
"116",70,49,25,16,14,35,137,250,550,607,405,272,316,372,344,349,387,673,621,519,332,235,158,120
"284",109,67,62,38,20,49,110,275,712,642,491,427,457,455,471,506,514,710,877,739,556,381,269,181
"224",18,6,5,1,5,2,23,65,147,125,119,130,101,163,133,178,145,266,275,206,155,78,48,35
"331",8,3,7,0,6,12,25,30,195,234,84,76,89,64,51,85,60,92,85,55,50,42,46,9
"459",34,21,7,5,8,3,59,270,505,470,339,392,468,547,543,550,662,959,1155,871,847,478,239,127
"405",73,41,17,24,12,14,75,140,268,255,212,288,269,244,274,306,312,407,415,309,211,176,136,89
"388",57,30,32,29,36,41,74,258,583,498,275,330,363,331,361,459,589,944,759,486,342,217,146,130
"241",10,5,3,1,0,2,29,79,122,117,64,85,48,55,58,46,44,69,78,70,42,18,34,31
"336",108,45,27,12,3,22,76,139,224,210,147,155,185,260,215,194,247,356,367,294,222,225,234,165
"487",33,17,12,5,24,104,363,530,889,495,332,211,175,176,173,208,254,281,323,244,199,127,78,39
"513",15,17,20,4,6,14,93,242,283,218,135,123,139,152,131,138,145,230,257,216,151,136,118,52
"325",59,32,21,7,6,28,78,164,257,212,154,149,135,151,184,194,180,280,426,402,273,175,129,91
"494",135,43,43,21,15,27,209,278,450,516,336,329,296,303,392,318,388,650,1018,697,432,350,298,176
"164",37,12,4,3,1,19,57,161,357,262,129,139,207,170,128,140,224,524,314,143,120,121,76,51
"285",73,43,24,11,5,12,87,174,408,552,438,408,480,494,516,578,612,735,694,553,430,281,173,165
"480",32,5,11,8,7,57,143,343,229,143,151,125,133,172,164,163,245,347,332,296,157,118,108,38
"308",20,13,4,2,4,6,54,100,147,118,85,65,121,117,108,88,89,108,193,175,133,79,69,43
"3135",21,6,5,1,2,45,85,261,325,114,86,90,105,104,92,99,94,167,166,179,126,82,65,37
"3242",14,13,4,3,1,1,4,38,109,101,84,74,89,116,97,92,124,138,158,125,123,102,54,20
"3071",6,2,5,1,0,0,1,2,7,40,12,18,19,22,27,19,28,21,25,28,21,20,22,11
"3156",13,8,1,3,1,20,78,225,621,359,212,188,169,165,182,188,252,318,369,247,143,75,39,25
"428",99,64,53,27,20,41,154,364,356,178,171,201,181,224,240,254,262,340,376,353,268,235,184,160
"438",77,40,33,20,11,33,101,213,331,165,132,147,189,252,263,207,210,248,300,256,200,172,130,112
"3161",30,13,5,2,10,45,79,225,311,71,66,81,104,104,144,108,129,157,156,143,99,58,52,39
"312",165,90,87,47,49,21,88,273,260,121,178,186,222,215,237,259,243,316,334,325,284,227,206,221
"532",51,40,21,17,7,8,22,98,272,230,160,225,231,239,292,218,241,268,296,273,213,150,117,126
"528",33,21,12,1,4,33,84,153,226,149,102,121,156,180,241,262,266,365,473,364,239,176,146,55
