"EVENT","X2013top2","X2014top2","X2015top2","X2016top2","X2017top2","X2018top2","X2013top3","X2014top3","X2015top3","X2016top3","X2017top3","X2018top3","X2013top4","X2014top4","X2015top4","X2016top4","X2017top4","X2018top4","X2013top1","X2014top1","X2015top1","X2016top1","X2017top1","X2018top1","X2013top5","X2014top5","X2015top5","X2016top5","X2017top5","X2018top5","X2013top6","X2014top6","X2015top6","X2016top6","X2017top6","X2018top6","X2013top7","X2014top7","X2015top7","X2016top7","X2017top7","X2018top7","X2013top8","X2014top8","X2015top8","X2016top8","X2017top8","X2018top8","X2013top9","X2014top9","X2015top9","X2016top9","X2017top9","X2018top9","X2013top10","X2014top10","X2015top10","X2016top10","X2017top10","X2018top10"
"20-29","103","720","1008","2063","2765","2950","833","3092","3270","4467","4815","4047","757","2881","2636","3626","3605","3707","832","3534","3328","4704","4289","3295","134","358","587","1330","2093","2871","700","730","755","775","1376","2871","64","466","570","1234","1661","2871","44","248","270","454","959","2871","18","530","648","1230","1663","2871","79","225","551","974","1508","2871"
"30-39","85","801","798","1497","2570","3309","756","2910","2347","3306","3536","3568","636","1975","1820","2367","2384","4360","505","1634","1621","2039","2295","2110","1320","1885","2288","3042","3366","3691","1800","1900","2009","2171","2889","3691","649","1966","1804","3041","3164","3691","260","1104","948","1153","1876","3691","164","1845","1568","2262","2382","3691","774","1185","1913","2453","2949","3691"
"40-49","136","832","879","1705","2357","2731","1331","3325","3142","3624","3639","3568","925","2142","1820","2222","2206","3707","1094","2362","2095","2715","2618","2558","890","1145","1276","1842","1928","2948","1550","1600","1637","1624","2657","2948","601","1751","1386","1942","2252","2948","173","909","892","740","1260","2948","100","1216","1230","1649","1492","2948","695","1038","1649","1725","1984","2948"
"50+","115","606","812","1998","2302","2110","1064","2587","2225","3752","3726","2558","739","1616","1567","2420","2413","2057","785","1933","1793","2655","2224","3295","800","1071","1296","1662","1798","1461","1600","1650","1666","1788","2988","1047","606","1808","1525","1987","2246","2162","147","744","826","853","1355","1232","113","1456","1664","1942","1951","1990","658","932","1630","1665","1998","1982"
