Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"3236",32,16,13,10,13,3,29,37,54,30,33,50,33,73,106,110,247,508,378,201,116,87,84,56
"3103",32,20,9,2,3,4,1,7,36,56,58,53,84,87,95,71,96,96,126,142,93,65,39,54
"469",15,22,5,3,4,30,61,265,510,392,177,139,125,189,148,152,130,213,192,155,80,79,68,40
"401",82,45,36,25,8,4,12,45,111,108,151,210,194,253,220,243,268,451,583,534,368,249,168,142
"285",70,47,25,13,12,28,207,310,653,615,389,394,469,508,517,547,494,597,653,513,346,258,162,126
"495",80,34,20,18,13,18,53,71,126,158,90,91,150,180,212,219,238,497,490,423,314,238,158,134
"386",12,13,1,2,1,1,36,107,432,415,163,123,176,199,206,156,130,172,155,104,91,45,57,26
"483",66,41,17,13,13,36,106,110,245,164,196,200,247,300,303,284,352,549,710,587,424,298,190,114
"306",45,37,12,21,21,1,35,144,173,225,99,100,130,152,141,143,145,225,255,220,181,108,85,64
"3083",27,11,5,11,1,0,4,10,38,15,25,26,32,24,42,38,35,72,65,78,71,63,43,29
"284",142,68,33,35,18,22,185,285,496,618,546,481,436,466,482,534,543,819,937,766,590,364,259,187
"150",52,40,22,9,8,3,14,34,55,46,59,51,80,97,110,90,139,261,438,368,210,127,69,62
"3139",15,3,6,0,0,1,54,68,126,110,78,137,127,181,159,157,179,228,223,152,71,60,22,18
"268",31,17,10,17,9,9,33,114,394,432,200,182,226,278,244,233,249,343,306,228,148,90,56,37
"492",65,23,9,12,32,35,124,241,342,308,192,220,281,422,662,545,866,1100,755,380,219,130,159,92
"493",35,13,7,5,12,56,100,257,615,216,149,188,221,302,220,167,213,197,220,157,90,37,29,27
"174",65,24,16,9,7,7,25,157,290,178,106,80,97,126,124,147,140,292,317,285,210,148,143,98
"2008",57,27,13,5,6,11,30,144,279,281,319,323,440,462,424,450,505,522,615,538,353,235,134,85
"350",29,18,5,5,6,2,18,43,55,70,85,102,134,134,141,154,223,347,446,307,187,82,105,76
"302",35,22,11,7,3,2,7,46,74,47,42,40,49,61,79,107,128,181,192,245,116,58,58,42
"476",61,32,10,18,6,16,81,128,221,216,164,198,147,155,191,194,253,461,476,310,280,188,157,91
"527",103,54,28,13,9,19,250,245,337,296,195,232,253,241,228,254,384,582,622,458,318,262,204,173
"515",67,46,28,25,13,5,91,62,96,114,128,143,181,209,233,283,374,564,682,451,363,274,187,119
"504",119,56,39,26,23,34,96,175,325,201,222,257,269,267,351,378,455,691,911,651,430,270,230,153
"3124",13,11,8,0,0,1,6,10,26,45,51,53,53,70,95,89,90,199,224,162,126,80,38,36
"346",61,44,15,6,8,4,29,106,152,192,182,237,322,282,349,389,386,491,460,347,263,168,127,98
"127",58,29,18,14,12,19,49,121,497,979,482,223,291,294,361,301,400,693,843,654,372,196,158,116
"422",24,7,11,4,6,33,150,118,104,94,66,70,62,82,98,85,97,212,215,151,99,60,58,46
"530",37,18,4,5,1,30,178,206,180,181,179,117,178,200,188,232,263,450,567,391,270,139,116,74
"487",80,40,30,11,8,16,50,95,112,92,92,133,162,179,222,271,375,620,523,369,350,268,226,143
"2002",60,31,12,5,6,10,45,61,198,230,146,146,133,180,207,186,198,286,334,254,234,146,88,73
"436",19,16,2,2,0,0,0,1,5,7,7,16,17,22,26,26,17,23,57,72,44,42,32,32
"340",45,11,13,7,3,3,10,57,123,48,54,62,77,134,106,121,102,258,308,206,125,113,74,52
"461",69,31,23,13,25,20,116,239,243,216,178,142,173,199,265,222,273,511,681,557,330,255,179,158
"496",26,13,9,4,6,17,36,182,584,686,276,289,325,409,404,352,429,565,560,389,231,116,89,61
"482",98,38,23,24,14,5,39,114,254,240,240,215,249,247,286,323,371,471,628,476,388,283,220,152
"529",75,40,15,8,15,40,38,126,179,146,105,101,170,201,362,475,487,417,421,338,242,187,156,132
"379",50,12,5,6,8,29,145,419,649,703,337,252,255,317,399,629,647,913,870,439,232,151,107,78
"466",40,18,15,8,7,32,95,230,767,668,374,284,344,293,341,320,300,553,557,405,261,173,120,64
"531",83,49,23,42,11,11,61,96,166,235,170,158,209,216,188,202,282,354,569,440,317,273,229,123
"358",78,31,27,17,8,12,54,215,485,427,325,361,393,409,538,545,567,865,883,617,437,318,164,117
"3156",43,14,8,3,3,16,152,351,402,259,129,126,136,169,161,155,189,325,399,307,213,163,113,66
