Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"267",40,6,4,10,7,14,62,142,538,536,288,226,246,282,259,232,312,506,348,188,136,107,59,52
"3256",40,17,11,2,4,58,97,186,323,408,267,352,375,443,427,519,550,711,884,593,488,290,155,73
"3166",32,17,8,4,4,4,17,48,93,95,109,140,180,195,224,225,268,413,523,337,230,132,104,40
"3635",74,34,30,10,15,15,51,142,335,503,298,219,293,314,272,264,425,566,530,324,259,198,153,92
"3680",19,1,3,2,18,64,212,289,839,549,231,189,240,244,231,279,277,382,221,113,53,22,11,19
"3086",51,31,29,12,5,6,30,109,235,167,123,126,125,129,133,110,126,174,271,235,198,164,128,83
"3177",35,7,5,2,3,1,10,52,55,72,94,88,111,114,105,120,172,240,288,252,197,121,103,47
"363",47,37,14,11,2,13,39,117,211,197,180,188,266,259,296,335,320,499,486,407,321,161,176,110
"305",23,24,4,3,3,30,195,494,333,313,265,242,286,335,290,242,316,393,318,166,141,96,55,48
"530",32,13,15,9,5,32,140,158,275,270,232,203,166,214,190,228,374,487,550,380,241,215,115,67
"127",60,29,11,6,3,8,79,118,361,824,461,314,284,338,394,327,341,661,890,629,427,249,135,105
"3343",16,5,6,0,3,1,17,19,28,34,44,31,45,37,38,55,53,82,91,71,73,56,37,25
"3140",31,18,6,6,5,16,85,151,113,110,127,156,181,249,225,261,325,684,646,366,228,138,98,51
"3370",28,11,3,1,1,6,11,49,54,49,48,66,80,102,95,85,99,175,201,188,154,126,79,53
"441",41,20,15,7,7,4,39,133,442,432,222,193,218,227,187,202,250,342,304,262,226,122,122,76
"427",8,14,7,1,8,1,11,143,398,355,144,128,176,197,230,213,263,339,251,171,109,73,45,27
"245",19,11,1,2,0,3,26,7,35,49,35,47,35,46,48,43,47,86,74,44,44,34,17,24
"494",132,61,41,35,21,48,101,130,270,389,279,319,355,335,388,415,663,764,747,540,415,305,206,129
"3383",41,14,9,1,11,3,12,26,74,62,45,68,87,80,99,124,144,161,207,181,142,95,58,54
"3173",21,11,7,4,0,10,20,53,80,88,95,143,176,212,252,278,287,474,602,307,203,123,94,48
"3002",74,42,19,11,7,35,162,366,719,577,386,407,654,605,564,577,722,1001,1033,707,526,287,231,167
"498",67,51,25,13,11,46,66,184,654,637,291,244,327,350,349,327,481,1103,701,356,232,197,135,110
"3235",19,2,3,1,6,30,180,335,788,739,307,251,374,358,295,333,381,402,291,153,98,54,39,23
"3641",33,19,8,5,3,30,122,285,820,627,340,477,588,580,508,474,587,780,689,456,287,162,121,54
"3293",30,13,6,3,6,31,70,91,164,80,85,71,78,80,72,92,124,195,267,155,136,114,73,39
"253",18,13,11,1,0,7,28,119,234,362,234,224,284,311,229,218,226,308,336,222,127,56,54,30
"450",80,42,17,15,8,21,153,347,430,471,212,213,332,308,291,305,362,582,664,497,355,287,250,144
"2008",50,33,12,5,4,17,67,172,269,283,352,406,424,406,455,423,458,588,676,615,418,240,163,108
"509",59,31,21,11,7,42,113,163,230,329,320,327,426,471,443,500,661,730,725,572,449,275,255,168
"3462",22,15,7,3,3,4,11,88,403,536,117,88,111,134,82,106,112,157,164,96,82,63,59,27
"3164",72,48,22,11,17,66,111,215,294,274,206,222,270,340,266,354,345,569,645,478,322,214,113,105
"3171",34,18,17,12,0,5,33,66,80,101,128,159,118,150,138,176,193,347,373,348,234,183,133,79
"377",26,10,7,4,9,12,73,319,853,1102,580,275,253,225,149,215,195,228,244,217,146,99,48,60
"238",43,15,8,2,3,9,9,55,84,86,130,179,176,149,190,198,296,420,454,297,187,132,68,40
"3356",32,6,1,0,1,15,48,78,77,74,77,59,70,121,77,65,130,145,232,139,122,66,52,38
"531",117,44,26,31,16,9,78,123,279,264,319,252,297,283,274,276,341,492,556,483,399,263,213,129
"3664",24,16,3,2,7,69,427,207,303,249,188,193,299,314,351,291,373,474,520,330,236,146,80,54
"309",15,3,2,13,17,71,261,286,339,136,116,139,202,255,243,219,340,351,303,204,150,91,48,19
"526",4,2,2,0,2,1,15,18,60,47,33,30,53,42,47,40,50,36,35,56,23,10,12,4
"3360",27,22,9,11,2,30,69,106,155,127,125,128,152,166,155,198,247,359,384,289,192,114,93,66
"496",43,13,12,5,1,18,77,170,549,636,354,344,385,431,398,380,465,577,552,370,207,99,83,62
"499",40,13,8,6,18,46,149,262,501,482,435,508,597,649,646,658,706,861,894,705,400,213,177,79
"3305",32,15,11,5,8,25,42,91,103,136,137,112,196,181,165,205,261,483,483,298,188,127,80,58
"3437",16,4,8,2,4,1,13,19,40,34,73,107,112,106,117,150,157,242,244,232,160,86,73,27
"334",76,48,26,12,14,76,53,136,249,337,269,261,355,375,314,366,402,530,610,391,296,256,148,125
"347",26,10,12,13,5,27,135,305,721,505,242,222,317,367,345,332,356,487,589,457,341,177,99,44
"164",20,9,10,1,2,23,45,185,576,445,203,136,126,134,110,105,135,209,185,116,96,67,53,39
"3283",28,15,10,8,9,15,30,68,110,83,95,102,84,99,155,125,164,278,296,249,171,100,73,59
"327",28,14,5,3,10,32,243,630,792,468,285,295,391,396,431,447,684,931,821,570,305,197,105,37
"3233",15,3,5,4,12,56,386,647,497,355,280,303,420,422,381,438,457,523,381,231,103,52,36,17
"3146",21,16,5,5,6,40,40,58,64,61,85,90,111,107,99,134,169,202,279,205,140,103,82,58
"391",39,26,11,17,7,12,23,88,153,137,96,124,101,128,119,151,172,239,235,214,144,116,66,52
"3307",16,9,6,10,1,4,5,62,51,44,45,65,58,77,77,91,129,186,240,197,145,89,64,32
"291",18,9,6,5,1,4,5,19,70,57,58,57,65,82,105,125,138,196,223,153,126,89,73,63
"79",22,11,6,2,13,11,75,142,238,326,227,188,171,185,210,195,182,224,302,210,120,62,59,42
"151",69,48,26,15,6,25,116,168,462,586,457,432,482,527,510,528,531,647,765,580,436,297,160,122
"3158",28,12,4,8,9,7,60,183,226,250,230,233,248,278,211,244,293,410,428,463,311,228,121,58
"3165",30,25,8,8,7,38,71,90,99,125,279,370,540,607,611,618,641,605,696,419,266,137,85,58
"435",39,28,16,4,25,68,166,423,1080,1138,667,566,612,748,702,626,811,987,1036,699,507,349,142,93
