Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"2013",16.2,9.23,5.8,3.33,2.48,3.41,12.36,28.49,58.26,58.22,44.33,50.74,65.61,72.99,73.38,73.84,78.48,100.53,106.17,86.83,64.89,44.96,33.9,24.88
"2014",22.4,12.05,6.99,4.26,3.46,8.06,32.91,67.18,119.62,108.42,77.53,83.53,98.44,104.33,110.92,117.84,133.76,185.09,176.85,136.65,103.04,70.13,52.35,37.94
"2015",20.17,10.93,6.21,3.9,3.2,9.46,39.47,81.12,145.57,126.94,79.4,80.18,93.01,101.33,104.18,108.27,127.72,181.14,183.77,134.95,95.6,64.9,47.75,33.29
"2016",30.1,15.66,9.19,6.08,5.08,14.54,57.18,121.34,221.55,189.7,127.06,126.39,144.93,155.43,160.74,166.85,195.82,287.04,296.25,214.61,150.11,100.69,72.51,51.81
"2017",37.12,18.96,10.62,6.5,5.74,18.63,69.59,143.7,252.5,222.7,153.73,157.82,177.09,184.13,191.43,203.35,238.22,333.4,336.64,248.64,175.06,122.44,92.65,62.56
"2018",39.34,21.6,12.68,8.11,6.87,21.62,73.4,150.92,275.91,248.67,175.5,176.6,203.43,218.25,218.7,227.89,273.01,373.58,383.53,285.96,202.12,137.4,101.93,69.2
